Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density ,maximum height,seed mass,seed volume,flowering duration,source,source notes
Notelaea microcarpa,,,,,,5.653,,10.000,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,41.995, mm2/g,,,,5.686,,1.600,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,41.995,mm2/mg,,,,5.686,,1.600,,,,AUSTRAITS_dataset_52,
Pandorea pandorana,,,,,,5.686,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,86.551, cm2/g,,,,5.691,,,,,,AUSTRAITS_dataset_12,
Pteridium esculentum,10.795, mm2/g,,,,5.728,,0.600,,,,AUSTRAITS_dataset_8,
Pteridium esculentum,,,,,,5.728,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.900,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,,,6.000,,,,,,AUSTRAITS_dataset_68,
Aphananthe philippinensis,,,,,,6.000,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.000,,,,,,AUSTRAITS_dataset_68,
Toechima tenax,,,,,,6.000,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.010,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.010,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,,,6.120,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,,,6.125,570.000,35.000,,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,,,,,,6.280,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,17.198, mm2/g,,,,6.281,,0.400,,,,AUSTRAITS_dataset_8,
Breynia oblongifolia,17.198,mm2/mg,,,,6.281,,0.400,,,,AUSTRAITS_dataset_52,
Melia azedarach,,,,,,6.300,380.000,45.000,,,,AUSTRAITS_dataset_49,
Toechima tenax,,,,,,6.300,662.200,30.000,,,,AUSTRAITS_dataset_49,
Lepiderema pulchella,,,,,,6.431,,15.000,,,,AUSTRAITS_dataset_49,
Archirhodomyrtus beckleri,11.899, mm2/g,,,,6.476,,5.500,,,,AUSTRAITS_dataset_8,
Archirhodomyrtus beckleri,,,,,,6.480,,,,,,AUSTRAITS_dataset_68,
Ailanthus triphysa,,,,,,6.500,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,18.587, mm2/g,,,,6.550,,1.000,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,18.587,mm2/mg,,,,6.550,,1.000,,,,AUSTRAITS_dataset_52,
Pandorea pandorana,,,,,,6.550,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,6.667,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,6.667,,,,,,AUSTRAITS_dataset_68,
Streblus brunonianus,,,,,,6.670,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.670,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.670,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.670,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.680,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,,,6.750,,,,,,AUSTRAITS_dataset_68,
Mischocarpus pyriformis,,,,,,6.750,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,29.981,mm2/mg,,,,6.830,,,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,29.981, mm2/g,,,,6.830,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,,,,,,6.850,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,6.920,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,7.000,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,7.000,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,7.000,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,38.669, mm2/g,,,,7.138,,1.300,,,,AUSTRAITS_dataset_8,
Hippocratea barbata,,,,,,7.140,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,7.150,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,,,7.330,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.450,,,,,,Gallagher_field_workPHD,
Smilax australis,9.550,mm2/mg,,,,7.500,,0.000,29.809,,,AUSTRAITS_dataset_10,
Smilax australis,,,,,,7.500,,,,,,AUSTRAITS_dataset_68,
Melaleuca quinquenervia,,,,,,7.508,,35.000,,,,AUSTRAITS_dataset_49,
Archirhodomyrtus beckleri,,,,,,7.670,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.700,,15.000,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,7.830,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.830,,,,,,Gallagher_field_workPHD,
Ailanthus triphysa,,,,,,7.875,,45.000,37.699,,,AUSTRAITS_dataset_49,
Rhodosphaera rhodanthema,,,,,,7.963,,27.000,62.832,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,8.030,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,44.244, mm2/g,,,,8.035,,0.200,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,3.377, mm2/g,,,,8.158,,0.800,,,,AUSTRAITS_dataset_8,
Maclura cochinchinensis,,,,,,8.240,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,,,8.250,,,,,,AUSTRAITS_dataset_68,
Derris involuta,,,,,,8.313,,,125.664,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,8.330,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.330,,,,,,Gallagher_field_workPHD,
Streblus brunonianus,,,,,,8.330,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.350,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.350,,,,,,Gallagher_field_workPHD,
Wikstroemia indica,,,,39.750,g/m2,8.360,0.580,2.500,,,,AUSTRAITS_dataset_39,
Syzygium luehmannii,,,,,,8.530,,,,,,Gallagher_field_workPHD,
Archirhodomyrtus beckleri,,,,,,8.640,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,13.155, mm2/g,,,,8.640,,8.000,,,,AUSTRAITS_dataset_8,
Archirhodomyrtus beckleri,13.155,mm2/mg,,,,8.640,,8.000,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,105.944, cm2/g,,,,8.646,,,,,,AUSTRAITS_dataset_12,
Maclura cochinchinensis,,,,,,8.660,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.660,,,,,,Gallagher_field_workPHD,
Backhousia myrtifolia,,,,,,8.663,688.000,35.000,,,,AUSTRAITS_dataset_49,
Myrsine variabilis,,,,,,8.670,,,,,,AUSTRAITS_dataset_68,
Syzygium australe,,,,,,8.740,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,,,8.750,593.000,35.000,,,,AUSTRAITS_dataset_49,
Cayratia clematidea,,,,,,8.750,,,6.283,,,AUSTRAITS_dataset_49,
Syzygium australe,,,,,,8.860,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,8.900,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,,,8.978,630.000,15.000,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,8.990,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.990,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,137.132, cm2/g,,,,8.991,,,,,,AUSTRAITS_dataset_12,
Clematis aristata,,,,,,9.000,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,9.000,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,9.000,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.040,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,25.831, mm2/g,,,,9.041,,0.300,,,,AUSTRAITS_dataset_8,
Endiandra sieberi,,,,,,9.100,645.000,30.000,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,13.011, mm2/g,,,,9.139,,8.000,,,,AUSTRAITS_dataset_8,
Syzygium oleosum,,,,,,9.140,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.160,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,88.870,g/m2,9.520,0.690,1.000,,,,AUSTRAITS_dataset_39,
Guioa semiglauca,10.720,mm2/mg,,,,9.600,,1.000,27.223,,,AUSTRAITS_dataset_10,
Guioa semiglauca,,,,,,9.600,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.713,,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.730,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,9.780,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,,,9.800,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.800,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,9.840,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,15.600, mm2/g,,,,9.843,,2.000,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,15.600,mm2/mg,,,,9.843,,2.000,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,9.860,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,31.851, mm2/g,,,,9.861,,20.000,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,31.851,mm2/mg,,,,9.861,,20.000,,,,AUSTRAITS_dataset_52,
Sarcopteryx stipata,,,,,,9.890,,,,,,Gallagher_field_workPHD,
Arytera distylis,,,,,,10.000,,,,,,AUSTRAITS_dataset_68,
Arytera distylis,,,,,,10.000,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10.000,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10.000,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,,,,,,10.050,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,19.181,mm2/mg,,,,10.055,,3.000,,,,AUSTRAITS_dataset_52,
Ochna serrulata,19.181, mm2/g,,,,10.055,,3.000,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,23.353, mm2/g,,,,10.065,,20.000,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,23.353,mm2/mg,,,,10.065,,20.000,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,10.070,,,,,,AUSTRAITS_dataset_68,
Lantana camara,20.820,mm2/mg,,,,10.080,,3.000,23.001,,,AUSTRAITS_dataset_10,
Embelia australiana,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Lantana camara,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.080,,,,,,AUSTRAITS_dataset_68,
Elattostachys xylocarpa,,,,,,10.083,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,90.769, cm2/g,,,,10.097,,,,,,AUSTRAITS_dataset_12,
Bridelia leichhardtii,,,,,,10.264,,15.000,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,23.637,mm2/mg,,,,10.377,,,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,23.637, mm2/g,,,,10.377,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,10.456,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.431, mm2/g,,,,10.456,,5.000,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,10.431,mm2/mg,,,,10.456,,5.000,,,,AUSTRAITS_dataset_52,
Arytera distylis,,,,,,10.500,632.100,20.000,,,,AUSTRAITS_dataset_49,
Clematis aristata,,,,,,10.500,,,12.566,,,AUSTRAITS_dataset_49,
Diospyros pentamera,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10.500,825.600,35.000,,,,AUSTRAITS_dataset_49,
Melodinus australis,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Pleurostylia opposita,,,,,,10.500,,15.000,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,,,,,,10.500,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,,,,,,10.535,,10.000,,,,AUSTRAITS_dataset_49,
Elattostachys xylocarpa,,,,,,10.588,662.200,25.000,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,11.870,mm2/mg,,,,10.700,,6.000,15.751,,,AUSTRAITS_dataset_10,
Guioa semiglauca,,,,,,10.833,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,10.833,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,10.833,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,11.069,,,16.755,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,11.100,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,11.130,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,11.210,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,6.710,mm2/mg,,,,11.270,,20.000,242.304,,,AUSTRAITS_dataset_10,
Cryptocarya laevigata,,,,,,11.330,,,,,,AUSTRAITS_dataset_68,
Toona ciliata,15.855,mm2/mg,,,,11.349,,4.000,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,11.375,662.200,40.000,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,,,,,,11.375,,,,,,AUSTRAITS_dataset_49,
Syzygium australe,,,,,,11.375,590.000,24.000,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,,,,,,11.438,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,11.440,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,,,11.510,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,11.510,,,,,,Gallagher_field_workPHD,
Backhousia myrtifolia,,,,,,11.570,,,,,,AUSTRAITS_dataset_68,
Alchornea ilicifolia,,,,,,11.670,,,,,,AUSTRAITS_dataset_68,
Atractocarpus chartaceus,,,,,,11.670,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,11.670,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,11.770,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,11.910,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,,,,,,12.000,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,,,,,,12.000,,,,,,AUSTRAITS_dataset_68,
Aphananthe philippinensis,,,,,,12.010,,,,,,Gallagher_field_workPHD,
Atractocarpus chartaceus,,,,,,12.250,,4.000,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,,,,,,12.250,790.000,12.000,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,12.440,,,,,,Gallagher_field_workPHD,
