Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering.onset,flowering.end,flowering.duration,source,source notes
Wilkiea huegeliana,,,,,,,,4,,,,,,AUSTRAITS_dataset_24,
Wilkiea huegeliana,,,,,,,,,,,,,,NSW flora online ,
Wilkiea macrophylla,,,,,,,,,,,,,,NSW flora online ,
Alphitonia excelsa,,,,,,,,10,,,,,,AUSTRAITS_dataset_24,
Alyxia ruscifolia,,,,,,2.03,,6,,,,,,AUSTRAITS_dataset_56,
Melodinus australis,,,,,,,,,,,,,,NSW flora online ,
Flagellaria indica,,,,,,13.23,,,,,,,,AUSTRAITS_dataset_56,
Micromelum minutum,,,,,,24.983,,10,,,,,,AUSTRAITS_dataset_56,
Clerodendrum floribundum,,,,,,66.413,,4,,,,,,AUSTRAITS_dataset_56,
Bursaria incana,,,,,,3.15,,8,,,,,,AUSTRAITS_dataset_29,
Melaleuca quinquenervia,,,,,,,,8,,,,,,AUSTRAITS_dataset_24,
Sterculia quadrifida,,,,,,114.188,,10,,,,,,AUSTRAITS_dataset_56,
Cayratia clematidea,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Ipomoea cairica,,,,,,,,,,,,,,NSW flora online ,
Lantana camara,,,,,,,,,,,,,,NSW flora online ,
Parsonsia straminea,,,,,,,,,,,,,,NSW flora online ,
Rubus rosifolius,,,,,,,,,,,,,,NSW flora online ,
Alphitonia excelsa,,,,,,51.975,,15,,,,,,AUSTRAITS_dataset_56,
mallotus philippensis,,,,,,53.594,,10,,,,,,AUSTRAITS_dataset_29,
Medicosma cunninghamii,,,,,,,,,,,,,,NSW flora online ,
Trophis scandens,,,,,,,,,,,,,,NSW flora online ,
Cupaniopsis anacardioides,,,,,,37.013,,10,,,,,,AUSTRAITS_dataset_56,
Acacia fimbriata,,,,,,,,,,,,,,NSW flora online ,
Ligustrum sinense,,,,,,,,,,,,,,NSW flora online ,
Cupaniopsis anacardioides,,,,,,,,,,,,,,NSW flora online ,
Hicksbeachia pinnatifolia,,,,,,,,,,,,,,NSW flora online ,
Endiandra sieberi,,,,,,,,15,,,,,,AUSTRAITS_dataset_24,
Notelaea microcarpa,,,,,,,,,,,,,,NSW flora online ,
Pandorea pandorana,,,,,,,,,,,,,,NSW flora online ,
Acronychia oblongifolia,,,,,,,,,,,,,,NSW flora online ,
Elaeocarpus grandis,,,,,,,,,,,,,,NSW flora online ,
Schefflera actinophylla,,,,,,,,,,,,,,NSW flora online ,
Synoum glandulosum,,,,,,,,3,,,,,,AUSTRAITS_dataset_24,
Melaleuca quinquenervia,,,,,,,,,,,,,,NSW flora online ,
Solanum mauritianum,,,,,,,,,,,,,,NSW flora online ,
trema tomentosa,,,,,,16.867,,6,,,,,,AUSTRAITS_dataset_29,
Citronella moorei,,,,,,,,,,,,,,NSW flora online ,
Embelia australiana,,,,,,,,,,,,,,NSW flora online ,
Archidendron muellerianum,,,,,,,,,,,,,,NSW flora online ,
Backhousia myrtifolia,,,,,,,,10,,,,,,AUSTRAITS_dataset_24,
Cissus hypoglauca,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Flindersia schottiana,,,,,,,,,,,,,,NSW flora online ,
Morinda jasminoides,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Pothos longipes,,,,,,,,,,,,,,NSW flora online ,
Rhodomyrtus psidioides,,,,,,,,,,,,,,NSW flora online ,
Wikstroemia indica,,,,,,,,1.5,,,,,,AUSTRAITS_dataset_24,
Hodgkinsonia ovatiflora,,,,,,,,,,,,,,NSW flora online ,
Parsonsia straminea,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Acmena smithii,,,,,,,,20,,,,,,AUSTRAITS_dataset_24,
Acmena smithii,,,,,,,,,,,,,,NSW flora online ,
Ixora beckleri,,,,,,,,,,,,,,NSW flora online ,
Rhodamnia argentea,,,,,,,,,,,,,,NSW flora online ,
Glochidion ferdinandi,,,,,,,,6,,,,,,AUSTRAITS_dataset_24,
Clematis aristata,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Cryptocarya glaucescens,,,,,,,,25,,,,,,AUSTRAITS_dataset_24,
Guioa semiglauca,,,,,,,,12,,,,,,AUSTRAITS_dataset_24,
Hymenosporum flavum,,,,,,,,4,,,,,,AUSTRAITS_dataset_24,
Breynia oblongifolia,,,,,,,,2,,,,,,AUSTRAITS_dataset_24,
Diploglottis australis,,,,,,,,,,,,,,NSW flora online ,
Geitonoplesium cymosum,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Lophostemon confertus,,,,,,,,,,,,,,NSW flora online ,
Lophostemon suaveolens,,,,,,,,,,,,,,NSW flora online ,
Melia azedarach,,,,,,,,10,,,,,,AUSTRAITS_dataset_24,
Olea paniculata,,,,,,,,,,,,,,NSW flora online ,
Syzygium luehmannii,,,,,,,,,,,,,,NSW flora online ,
Pararchidendron pruinosum,,,,,,,,,,,,,,NSW flora online ,
Alangium polyosmoides,,,,,,,,,,,,,,NSW flora online ,
Callistemon salignus,,,,,,,,6,,,,,,AUSTRAITS_dataset_24,
Dioscorea transversa,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Rhodamnia rubescens,,,,,,,,25,,,,,,AUSTRAITS_dataset_24,
drypetes deplanchei,,,,,,22.82,,15,,,,,,AUSTRAITS_dataset_29,
Acacia bakeri,,,,,,,,,,,,,,NSW flora online ,
Archirhodomyrtus beckleri,,,,,,,,,,,,,,NSW flora online ,
Callerya megasperma,,,,,,,,,,,,,,NSW flora online ,
Callistemon salignus,,,,,,,,,,,,,,NSW flora online ,
Castanospermum australe,,,,,,,,,,,,,,NSW flora online ,
Dioscorea transversa,,,,,,,,,,,,,,NSW flora online ,
Elaeocarpus obovatus,,,,,,,,,,,,,,NSW flora online ,
Eupomatia bennettii,,,,,,,,,,,,,,NSW flora online ,
Grevillea robusta,,,,,,,,,,,,,,NSW flora online ,
Guioa semiglauca,,,,,,,,,,,,,,NSW flora online ,
Hymenosporum flavum,,,,,,,,,,,,,,NSW flora online ,
Lomandra longifolia,,,,,,,,,,,,,,NSW flora online ,
Melaleuca bracteata,,,,,,,,,,,,,,NSW flora online ,
Melia azedarach,,,,,,,,,,,,,,NSW flora online ,
Pavetta australiensis,,,,,,,,,,,,,,NSW flora online ,
Pittosporum undulatum,,,,,,,,,,,,,,NSW flora online ,
Pseudoweinmannia lachnocarpa,,,,,,,,,,,,,,NSW flora online ,
Rhodosphaera rhodanthema,,,,,,,,,,,,,,NSW flora online ,
Sloanea woollsii,,,,,,,,,,,,,,NSW flora online ,
Syzygium australe,,,,,,,,,,,,,,NSW flora online ,
Turraea pubescens,,,,,,,,,,,,,,NSW flora online ,
Clematis aristata,,,,,,,,,,,,,,NSW flora online ,
Auranticarpa rhombifolia,,,,,,,,,,,,,,NSW flora online ,
Carex appressa,,,,,,,,,,,,,,NSW flora online ,
Cestrum nocturnum,,,,,,,,,,,,,,NSW flora online ,
Cissus hypoglauca,,,,,,,,,,,,,,NSW flora online ,
Derris involuta,,,,,,,,,,,,,,NSW flora online ,
Geitonoplesium cymosum,,,,,,,,,,,,,,NSW flora online ,
Ligustrum lucidum,,,,,,,,,,,,,,NSW flora online ,
Marsdenia rostrata,,,,,,,,,,,,,,NSW flora online ,
Morinda jasminoides,,,,,,,,,,,,,,NSW flora online ,
Pittosporum multiflorum,,,,,,,,,,,,,,NSW flora online ,
Sloanea australis,,,,,,,,,,,,,,NSW flora online ,
Tabernaemontana pandacaqui,,,,,,,,,,,,,,NSW flora online ,
Tecoma capensis,,,,,,,,,,,,,,NSW flora online ,
Tecoma stans,,,,,,,,,,,,,,NSW flora online ,
Alyxia ruscifolia,,,,,,,,,,,,,,NSW flora online ,
Cissus antarctica,,,,,,,,,,,,,,NSW flora online ,
Flagellaria indica,,,,,,,,,,,,,,NSW flora online ,
Micromelum minutum,,,,,,,,,,,,,,NSW flora online ,
Solanum seaforthianum,,,,,,,,,,,,,,NSW flora online ,
Callistemon viminalis,,,,,,,,,,,,,,NSW flora online ,
Smilax australis,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Casuarina cunninghamiana,,,,,,0.001,,25,,,,,,AUSTRAITS_dataset_49,
Casuarina cunninghamiana,,,,,,0.019,,20,,,,,,AUSTRAITS_dataset_29,
Breynia oblongifolia,101.5,cm2/g,,,,0.033,,,,,,,,AUSTRAITS_dataset_3,
Synoum glandulosum,124,cm2/g,,,,0.104,,,,,,,,AUSTRAITS_dataset_3,
Phyllanthus microcladus,,,,,,0.147,,1,,,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,121.6,cm2/g,,,,0.181,,,,,,,,AUSTRAITS_dataset_3,
Casuarina cunninghamiana,3.724, mm2/g,,,,0.188,,10,,,,,,AUSTRAITS_dataset_8,
Casuarina cunninghamiana,3.724,mm2/mg,,,,0.188,,10,,,,,,AUSTRAITS_dataset_52,
Casuarina cunninghamiana,,,,,,0.19,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,24.308, mm2/g,,,,0.209,,0.5,,,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,24.308,mm2/mg,,,,0.209,,0.5,,,,,,AUSTRAITS_dataset_52,
Araucaria cunninghamii,,,,,,0.219,437,50,,,,,,AUSTRAITS_dataset_49,
Diospyros australis,87.5,cm2/g,,,,0.26,,,,,,,,AUSTRAITS_dataset_3,
Pittosporum multiflorum,,,,,,0.26,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.26,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.26,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.276,,4.2,,,,,,AUSTRAITS_dataset_49,
Melaleuca bracteata,,,,,,0.299,,15,,,,,,AUSTRAITS_dataset_49,
Acronychia oblongifolia,,,,,,0.4,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,105,cm2/g,,,,0.421,,,,,,,,AUSTRAITS_dataset_3,
Araucaria cunninghamii,,,,,,0.75,,,,,,,,AUSTRAITS_dataset_68,
Araucaria cunninghamii,,,,,,0.75,,,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,30.88,mm2/mg,,,,0.9,,3,2.964,,,,,AUSTRAITS_dataset_10,
Grevillea robusta,,,,,,1.155,516,35,31.416,,,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,15.76,mm2/mg,,,,1.2,,2,7.828,,,,,AUSTRAITS_dataset_10,
Breynia oblongifolia,,,,,,1.2,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,1.2,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,1.2,,,,,,,,AUSTRAITS_dataset_68,
Psychotria daphnoides,,,,,,1.26,,2,,,,,,AUSTRAITS_dataset_49,
Lomandra longifolia,1.656, mm2/g,,,,1.539,,0.3,,,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,1.54,,,,,,,,Gallagher_field_workPHD,
Breynia oblongifolia,,,,,,1.663,,8,,,,,,AUSTRAITS_dataset_49,
Pilidiostigma rhytispermum,,,,,,1.89,,10,,,,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,,,,,,2.08,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,29.051, mm2/g,,,,2.182,,0.2,,,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,,,,,,2.182,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,53.112, mm2/g,,,,2.209,,0.2,,,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,2.21,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,14, mm2/g,,,,2.545,,1.2,,,,,,AUSTRAITS_dataset_8,
Breynia oblongifolia,14,mm2/mg,,,,2.545,,1.2,,,,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,2.55,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.55,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,18.52,mm2/mg,,,,2.7,,2,12.31,,,,,AUSTRAITS_dataset_10,
Cayratia clematidea,,,,,,2.7,,,,,,,,AUSTRAITS_dataset_68,
Rubus rosifolius,,,,,,2.72,,,,,,,,AUSTRAITS_dataset_68,
Rubus rosifolius,,,,,,2.72,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,13.22,mm2/mg,,,,2.816,,0,38.058,,,,,AUSTRAITS_dataset_10,
Geitonoplesium cymosum,40.14,mm2/mg,,,,2.82,,3,3.776,,,,,AUSTRAITS_dataset_10,
Geitonoplesium cymosum,,,,,,2.82,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.82,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.82,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.02,,,,,,,,Gallagher_field_workPHD,
Breynia oblongifolia,,,,,,3.18,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,11.951, mm2/g,,,,3.18,,0.4,,,,,,AUSTRAITS_dataset_8,
Ochna serrulata,20.31,mm2/mg,,,,3.26,,2,83.76,,,,,AUSTRAITS_dataset_10,
Ochna serrulata,,,,,,3.26,,,,,,,,AUSTRAITS_dataset_68,
Wikstroemia indica,,,,,,3.26,,4,,,,,,AUSTRAITS_dataset_49,
Bursaria incana,,,,,,3.325,,10,3.142,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,26.12,mm2/mg,,,,3.33,,1.5,5.445,,,,,AUSTRAITS_dataset_10,
Morinda jasminoides,,,,,,3.33,,,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,3.6,,,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,16.433, mm2/g,,,,3.684,,1,,,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,16.433,mm2/mg,,,,3.684,,1,,,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,3.684,,,,,,,,AUSTRAITS_dataset_68,
Carissa ovata,,,,,,3.75,,,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,,,,,,3.895,,,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,8.27, mm2/g,,,,3.895,,1.2,,,,,,AUSTRAITS_dataset_8,
Jagera pseudorhus,,,,,,3.9,,,,,,,,AUSTRAITS_dataset_68,
Jagera pseudorhus,,,,,,3.9,,,,,,,,AUSTRAITS_dataset_68,
Jagera pseudorhus,,,,,,3.9,,,,,,,,AUSTRAITS_dataset_68,
Alyxia ruscifolia,,,,,,3.97,,,,,,,,AUSTRAITS_dataset_68,
Alyxia ruscifolia,,,,,,3.97,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.98,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.98,,,,,,,,Gallagher_field_workPHD,
Wikstroemia indica,,,,,,4,,,,,,,,AUSTRAITS_dataset_68,
Backhousia myrtifolia,8.55,mm2/mg,,,,4.03,,10,13.006,,,,,AUSTRAITS_dataset_10,
Backhousia myrtifolia,,,,,,4.03,,,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,4.03,,,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,,,,,,4.2,,,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,,,,,,4.2,,,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,,,4.4,,,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,,,,,,4.428,,,,,,,,AUSTRAITS_dataset_49,
Carissa ovata,,,,,,4.62,,4,,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,31.278, mm2/g,,,,4.717,,0.1,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,31.278,mm2/mg,,,,4.717,,0.1,,,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,4.72,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,4.758,0.62,,,,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,4.76,,,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,,,,,,4.8,,,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,5.057, mm2/g,,,,4.801,,2,,,,,,AUSTRAITS_dataset_8,
Notelaea microcarpa,5.057,mm2/mg,,,,4.801,,2,,,,,,AUSTRAITS_dataset_52,
Jagera pseudorhus,,,,,,4.81,,,,,,,,Gallagher_field_workPHD,
Alyxia ruscifolia,,,,,,4.9,,5,,,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,37.305, mm2/g,,,,5.126,,1.5,,,,,,AUSTRAITS_dataset_8,
Parsonsia straminea,37.305,mm2/mg,,,,5.126,,1.5,,,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,5.13,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.2,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,,,5.21,,,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.21,,,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.21,,,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.21,,,,,,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,5.25,,,,,,,,AUSTRAITS_dataset_68,
Callerya megasperma,,,,,,5.25,,,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,,,,,,5.31,,,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,21.102, mm2/g,,,,5.313,,0.3,,,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,5.6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.6,,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,,,5.6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.61,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.61,,,,,,,,Gallagher_field_workPHD,
Notelaea microcarpa,,,,,,5.653,,10,,,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,41.995, mm2/g,,,,5.686,,1.6,,,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,41.995,mm2/mg,,,,5.686,,1.6,,,,,,AUSTRAITS_dataset_52,
Pandorea pandorana,,,,,,5.686,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,86.551, cm2/g,,,,5.691,,,,,,,,AUSTRAITS_dataset_12,
Pteridium esculentum,10.795, mm2/g,,,,5.728,,0.6,,,,,,AUSTRAITS_dataset_8,
Pteridium esculentum,,,,,,5.728,,,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.9,,,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,,,6,,,,,,,,AUSTRAITS_dataset_68,
Aphananthe philippinensis,,,,,,6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6,,,,,,,,AUSTRAITS_dataset_68,
Toechima tenax,,,,,,6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.01,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,6.01,,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,,,6.12,,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,,,6.125,570,35,,,,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,,,,,,6.28,,,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,17.198, mm2/g,,,,6.281,,0.4,,,,,,AUSTRAITS_dataset_8,
Breynia oblongifolia,17.198,mm2/mg,,,,6.281,,0.4,,,,,,AUSTRAITS_dataset_52,
Melia azedarach,,,,,,6.3,380,45,,,,,,AUSTRAITS_dataset_49,
Toechima tenax,,,,,,6.3,662.2,30,,,,,,AUSTRAITS_dataset_49,
Lepiderema pulchella,,,,,,6.431,,15,,,,,,AUSTRAITS_dataset_49,
Archirhodomyrtus beckleri,11.899, mm2/g,,,,6.476,,5.5,,,,,,AUSTRAITS_dataset_8,
Archirhodomyrtus beckleri,,,,,,6.48,,,,,,,,AUSTRAITS_dataset_68,
Ailanthus triphysa,,,,,,6.5,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,18.587, mm2/g,,,,6.55,,1,,,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,18.587,mm2/mg,,,,6.55,,1,,,,,,AUSTRAITS_dataset_52,
Pandorea pandorana,,,,,,6.55,,,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,6.667,,,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,6.667,,,,,,,,AUSTRAITS_dataset_68,
Streblus brunonianus,,,,,,6.67,,,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.67,,,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.67,,,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.67,,,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,6.68,,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,,,6.75,,,,,,,,AUSTRAITS_dataset_68,
Mischocarpus pyriformis,,,,,,6.75,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,29.981,mm2/mg,,,,6.83,,,,,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,29.981, mm2/g,,,,6.83,,,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,,,,,,6.85,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,6.92,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,7,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,7,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,7,,,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,38.669, mm2/g,,,,7.138,,1.3,,,,,,AUSTRAITS_dataset_8,
Hippocratea barbata,,,,,,7.14,,,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,7.15,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,,,7.33,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.45,,,,,,,,Gallagher_field_workPHD,
Smilax australis,9.55,mm2/mg,,,,7.5,,0,29.809,,,,,AUSTRAITS_dataset_10,
Smilax australis,,,,,,7.5,,,,,,,,AUSTRAITS_dataset_68,
Melaleuca quinquenervia,,,,,,7.508,,35,,,,,,AUSTRAITS_dataset_49,
Archirhodomyrtus beckleri,,,,,,7.67,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.7,,15,,,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,7.83,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.83,,,,,,,,Gallagher_field_workPHD,
Ailanthus triphysa,,,,,,7.875,,45,37.699,,,,,AUSTRAITS_dataset_49,
Rhodosphaera rhodanthema,,,,,,7.963,,27,62.832,,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,8.03,,,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,44.244, mm2/g,,,,8.035,,0.2,,,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,3.377, mm2/g,,,,8.158,,0.8,,,,,,AUSTRAITS_dataset_8,
Maclura cochinchinensis,,,,,,8.24,,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,,,8.25,,,,,,,,AUSTRAITS_dataset_68,
Derris involuta,,,,,,8.313,,,125.664,,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,8.33,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.33,,,,,,,,Gallagher_field_workPHD,
Streblus brunonianus,,,,,,8.33,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.35,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.35,,,,,,,,Gallagher_field_workPHD,
