Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering.onset,flowering.end,flowering.duration,source,source notes
Lomandra longifolia,2.477, mm2/g,,,,19.541,,1,,,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,31.486, mm2/g,,,,19.553,,0.4,,,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,31.486,mm2/mg,,,,19.553,,0.4,,,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,19.553,,,,,,,,AUSTRAITS_dataset_68,
Capparis velutina,,,,,,19.6,,,31.416,,,,,AUSTRAITS_dataset_49,
Croton acronychioides,,,,,,19.6,,14,,,,,,AUSTRAITS_dataset_49,
Ficus opposita,,,,,,19.6,,8,,,,,,AUSTRAITS_dataset_56,
Pandorea pandorana,,,,,,19.6,,,50.265,,,,,AUSTRAITS_dataset_49,
Pouteria queenslandica,,,,,,19.6,,40,150.796,,,,,AUSTRAITS_dataset_49,
Senna sulfurea,,,,,,19.635,,11,56.549,,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,9.573, mm2/g,,,,19.67,,12,,,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,9.573,mm2/mg,,,,19.67,,12,,,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,,,,,,19.67,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,6.576, mm2/g,,,,19.699,,4,,,,,,AUSTRAITS_dataset_8,
Diospyros australis,6.576,mm2/mg,,,,19.699,,4,,,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,19.7,,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,19.74,,,,,,,,Gallagher_field_workPHD,
Smilax australis,13.134, mm2/g,,,,19.779,,0.7,,,,,,AUSTRAITS_dataset_8,
Smilax australis,,,,,,19.78,,,,,,,,AUSTRAITS_dataset_68,
Bridelia exaltata,,,,,,19.83,,,,,,,,AUSTRAITS_dataset_68,
Archidendron muellerianum,,,,,,19.833,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,19.92,,,,,,,,Gallagher_field_workPHD,
Cryptocarya glaucescens,,,,,,19.95,541.8,45,,,,,,AUSTRAITS_dataset_49,
Ficus obliqua,,,,,,20,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,20.12,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,10.249, mm2/g,,,,20.121,,1.6,,,,,,AUSTRAITS_dataset_8,
Notelaea longifolia,,,,,,20.15,,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,20.166,0.75,,,,,,,AUSTRAITS_dataset_30,
Acmena smithii,,,,,,20.17,,,,,,,,AUSTRAITS_dataset_68,
Daphnandra apatela,,,,,,20.213,559,35,,,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,,,,,,20.213,731,25,,,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,,,,,,20.23,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,20.28,,,,,,,,Gallagher_field_workPHD,
Turraea pubescens,,,,,,20.3,,7,,,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,,,Gallagher_field_workPHD,
Heritiera trifoliolata,11.018,mm2/mg,,,,20.568,,,,,,,,AUSTRAITS_dataset_52,
Heritiera trifoliolata,,,,,,20.568,,,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,20.58,,,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,20.58,,,,,,,,AUSTRAITS_dataset_68,
Toona ciliata,,,,,,20.583,,,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,20.74,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,,,20.78,,,,,,,,Gallagher_field_workPHD,
Bridelia exaltata,,,,,,20.825,774,35,,,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,20.83,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.83,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.83,,,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,20.88,,,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,9.897, mm2/g,,,,20.928,,20,,,,,,AUSTRAITS_dataset_8,
Alphitonia excelsa,9.897,mm2/mg,,,,20.928,,20,,,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,20.93,,,,,,,,AUSTRAITS_dataset_68,
Canarium australasicum,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Canarium australasicum,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,21,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,21.01,,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,,,21.11,,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,,,21.15,,,,,,,,Gallagher_field_workPHD,
Mischarytera lautereriana,,,,,,21.175,,30,,,,,,AUSTRAITS_dataset_49,
Ficus obliqua,,,,,,21.22,,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,13.36,mm2/mg,,,,21.3,,4,11.994,,,,,AUSTRAITS_dataset_10,
Psychotria loniceroides,,,,,,21.3,,,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,21.45,,,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,21.45,,,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,21.57,,,,,,,,Gallagher_field_workPHD,
Endiandra sieberi,,,,,,21.61,,,,,,,,Gallagher_field_workPHD,
Cyclophyllum coprosmoides,,,,,,21.788,,10,,,,,,AUSTRAITS_dataset_49,
Trema tomentosa,,,,59.04,g/m2,21.79,0.46,2.5,,,,,,AUSTRAITS_dataset_39,
Calamus muelleri,,,,,,21.95,,,,,,,,Gallagher_field_workPHD,
Elaeagnus triflora,,,,,,22.05,,,,,,,,AUSTRAITS_dataset_49,
Hippocratea barbata,,,,,,22.05,,,,,,,,AUSTRAITS_dataset_49,
Melodorum leichhardtii,,,,,,22.05,,,,,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,,,,,,22.05,571.9,13.5,,,,,,AUSTRAITS_dataset_49,
Stephania japonica,25.97, mm2/g,,,,22.116,,0.1,,,,,,AUSTRAITS_dataset_8,
Stephania japonica,,,,,,22.12,,,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,,,,,,22.17,,,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,,,,,,22.17,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.17,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.17,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.17,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,22.31,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,8.291,mm2/mg,,,,22.313,,2,,,,,,AUSTRAITS_dataset_52,
Diospyros australis,8.291, mm2/g,,,,22.313,,2,,,,,,AUSTRAITS_dataset_8,
Elaeocarpus grandis,,,,,,22.5,,,,,,,,AUSTRAITS_dataset_68,
Elaeocarpus grandis,,,,,,22.5,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,22.54,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,22.54,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,22.6,,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,22.667,,,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,58.369, cm2/g,,,,22.839,,,,,,,,AUSTRAITS_dataset_12,
Drypetes deplanchei,,,,,,22.86,,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,,,22.92,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,22.969,,,,,,,,AUSTRAITS_dataset_49,
Tabernaemontana pandacaqui,,,,,,23.05,,,,,,,,AUSTRAITS_dataset_68,
Alchornea ilicifolia,,,,,,23.1,,7,,,,,,AUSTRAITS_dataset_49,
Trophis scandens,,,,,,23.1,,,,,,,,AUSTRAITS_dataset_49,
Notelaea longifolia,,,,,,23.11,,,,,,,,Gallagher_field_workPHD,
Cleistanthus cunninghamii,,,,,,23.15,,,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,12.618,m2/kg,,,,23.153,0.486,,,,,,,AUSTRAITS_dataset_28,
Cleistanthus cunninghamii,,,,,,23.23,,,,,,,,Gallagher_field_workPHD,
Toona ciliata,,,,,,23.275,389,45,,,,,,AUSTRAITS_dataset_49,
Endiandra pubens,,,,,,23.33,,,,,,,,AUSTRAITS_dataset_68,
Endiandra pubens,,,,,,23.33,,,,,,,,AUSTRAITS_dataset_68,
Endiandra pubens,,,,,,23.33,,,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,5.652,mm2/mg,,,,23.339,,,,,,,,AUSTRAITS_dataset_52,
Trophis scandens,5.652, mm2/g,,,,23.339,,,,,,,,AUSTRAITS_dataset_8,
Trophis scandens,,,,,,23.34,,,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,131.48,g/m2,23.37,0.58,8,,,,,,AUSTRAITS_dataset_39,
Lomandra longifolia,6.431, mm2/g,,,,23.385,,1,,,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,23.39,,,,,,,,AUSTRAITS_dataset_68,
Glochidion ferdinandi,,,,,,23.48,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,23.53,,,,,,,,Gallagher_field_workPHD,
Alectryon tomentosus,,,,,,23.625,,20,,,,,,AUSTRAITS_dataset_49,
Capparis arborea,,,,,,23.625,700,10,47.124,,,,,AUSTRAITS_dataset_49,
Diospyros australis,,,,,,23.74,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis newmanii,,,,,,23.75,,,,,,,,AUSTRAITS_dataset_68,
Archidendron muellerianum,,,,,,23.8,,20,,,,,,AUSTRAITS_dataset_49,
Auranticarpa rhombifolia,,,,,,23.8,743.9,40,,,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,,,,,,23.81,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,23.87,412,30,,,,,,AUSTRAITS_dataset_49,
Cryptocarya glaucescens,10.87,mm2/mg,,,,24,,10,323.99,,,,,AUSTRAITS_dataset_10,
Elattostachys nervosa,,,,,,24,,,,,,,,AUSTRAITS_dataset_68,
Elattostachys nervosa,,,,,,24,,,,,,,,AUSTRAITS_dataset_68,
Mallotus philippensis,,,,,,24,,,,,,,,AUSTRAITS_dataset_68,
Mallotus philippensis,,,,,,24,,,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,24,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,13.33,mm2/mg,,,,24.07,,4,8.15,,,,,AUSTRAITS_dataset_10,
Eupomatia laurina,,,,,,24.07,,,,,,,,AUSTRAITS_dataset_68,
Rhodamnia argentea,,,,,,24.08,,,,,,,,AUSTRAITS_dataset_68,
Rhodamnia argentea,,,,,,24.08,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,10.95,mm2/mg,,,,24.1,,5,5.893,,,,,AUSTRAITS_dataset_10,
Pittosporum undulatum,,,,,,24.1,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,,,,,,24.16,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,,,24.31,,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,,,24.312,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.619,m2/kg,,,,24.427,0.524,,,,,,,AUSTRAITS_dataset_28,
Syzygium floribundum,,,,,,24.456,636.4,30,,,,,,AUSTRAITS_dataset_49,
Argophyllum nullumense,,,,,,24.5,,8,,,,,,AUSTRAITS_dataset_49,
Endiandra pubens,,,,,,24.5,649.3,25,,,,,,AUSTRAITS_dataset_49,
Acmena smithii,,,,,,24.75,,,,,,,,AUSTRAITS_dataset_68,
Drypetes deplanchei,,,,,,24.75,,,,,,,,Gallagher_field_workPHD,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,24.82,,,,,,,,Gallagher_field_workPHD,
Medicosma cunninghamii,,,,,,24.92,,,,,,,,AUSTRAITS_dataset_68,
Acronychia oblongifolia,,,,,,24.93,,,,,,,,Gallagher_field_workPHD,
Cupaniopsis newmanii,,,,,,24.938,,12,,,,,,AUSTRAITS_dataset_49,
Vitex melicopea,,,,,,24.938,490,30,,,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,24.955,,,,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,14.157,mm2/mg,,,,25.1,,3,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,14.157, mm2/g,,,,25.1,,3,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,25.1,,,,,,,,AUSTRAITS_dataset_68,
Elattostachys nervosa,,,,,,25.2,662.2,40,,,,,,AUSTRAITS_dataset_49,
Rhodamnia argentea,,,,,,25.288,718.1,40,,,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,26.87,mm2/mg,,,,25.3,,10,10.344,,,,,AUSTRAITS_dataset_10,
Acmena smithii,,,,,,25.3,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,,,25.3,,,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,25.3,,,,,,,,AUSTRAITS_dataset_68,
Glochidion ferdinandi,,,,,,25.351,0.49,,,,,,,AUSTRAITS_dataset_30,
Notelaea longifolia,,,,,,25.38,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,,,25.41,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.41,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,25.41,,,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,15.422, mm2/g,,,,25.412,,2.5,,,,,,AUSTRAITS_dataset_8,
Cleistanthus cunninghamii,11.409,m2/kg,,,,25.488,0.569,,,,,,,AUSTRAITS_dataset_28,
Acmena smithii,104.1,cm2/g,,96.061,g/m2,25.5,,,,,,,,AUSTRAITS_dataset_32,
Marsdenia rostrata,,,,,,25.5,,,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,,,,,,25.5,,,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,,,,,,25.5,,,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,30.796, mm2/g,,,,25.548,,1.8,,,,,,AUSTRAITS_dataset_8,
Marsdenia rostrata,30.796,mm2/mg,,,,25.548,,1.8,,,,,,AUSTRAITS_dataset_52,
Marsdenia rostrata,,,,,,25.55,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,25.6,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,25.85,,,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,15.496,m2/kg,,,,25.852,0.521,,,,,,,AUSTRAITS_dataset_28,
Acmena smithii,,,,,,25.872,530,20,,,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,26.03,,,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,26.03,,,,,,,,Gallagher_field_workPHD,
Lophostemon suaveolens,,,,136.9,,26.1,,25,,,,,,AUSTRAITS_dataset_45,
Lophostemon suaveolens,,,,136.9,g/m2,26.14,0.57,25,,,,,,AUSTRAITS_dataset_61,
Lophostemon suaveolens,,,,136.9,g/m2,26.16,,,,,,,,AUSTRAITS_dataset_43,
Medicosma cunninghamii,,,,,,26.163,,10,,,,,,AUSTRAITS_dataset_49,
Endiandra discolor,,,,,,26.2,,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,28.62,mm2/mg,,,,26.25,,0,5.215,,,,,AUSTRAITS_dataset_10,
Diospyros fasciculosa,,,,,,26.25,,,,,,,,AUSTRAITS_dataset_68,
Olea paniculata,,,,,,26.25,732,30,,,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,,,,,,26.25,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,26.25,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,26.25,,,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,26.26,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,26.29,,,,,,,,Gallagher_field_workPHD,
Flagellaria indica,,,,,,26.4,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,26.4,,,,,,,,Gallagher_field_workPHD,
Canarium australasicum,,,,,,26.6,610,40,,,,,,AUSTRAITS_dataset_49,
Cupaniopsis anacardioides,,,,,,26.667,,,,,,,,AUSTRAITS_dataset_68,
Dissiliaria baloghioides,,,,,,26.775,,35,,,,,,AUSTRAITS_dataset_49,
Cryptocarya laevigata,114.758,cm2/g,,,,26.815,,4.8,,,,,,AUSTRAITS_dataset_67,
Cryptocarya laevigata,,,,87,g/m2,26.82,,4.8,,,,,,AUSTRAITS_dataset_32,
Cryptocarya laevigata,,,,,,26.82,,,,,,,,AUSTRAITS_dataset_68,
Tabernaemontana pandacaqui,,,,,,26.83,,,,,,,,AUSTRAITS_dataset_68,
Tabernaemontana pandacaqui,,,,,,26.83,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya laevigata,,,,,,26.906,,7,,,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,,,26.917,,,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,26.917,,,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,,,AUSTRAITS_dataset_68,
Elaeagnus triflora,,,,,,26.98,,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,,,26.98,,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,67.84,g/m2,27.2,0.54,20,,,,,,AUSTRAITS_dataset_39,
Polyscias elegans,,,,,,27.36,,,,,,,,Gallagher_field_workPHD,
Lantana camara,,,,,,27.49,,,,,,,,AUSTRAITS_dataset_68,
Lantana camara,19.02, mm2/g,,,,27.491,,2.5,,,,,,AUSTRAITS_dataset_8,
Lantana camara,19.02,mm2/mg,,,,27.491,,2.5,,,,,,AUSTRAITS_dataset_52,
Diospyros fasciculosa,,,,,,27.563,690,30,,,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,12.157, mm2/g,,,,27.618,,3.5,,,,,,AUSTRAITS_dataset_8,
Elaeocarpus grandis,,,,122,g/m2,27.62,,34.7,,,,,,AUSTRAITS_dataset_32,
Neolitsea dealbata,,,,,,27.62,,,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,,,,117,g/m2,27.65,,34.8,,,,,,AUSTRAITS_dataset_32,
Castanospermum australe,85.536,cm2/g,,,,27.651,,34.8,,,,,,AUSTRAITS_dataset_67,
Pittosporum undulatum,11.559,m2/kg,,,,27.685,0.508,,,,,,,AUSTRAITS_dataset_28,
Stephania japonica,,,,,,27.83,,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,27.85,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,,,,,,27.93,,,,,,,,AUSTRAITS_dataset_68,
Ligustrum lucidum,,,,,,27.95,,,,,,,,AUSTRAITS_dataset_68,
Ligustrum lucidum,12.006, mm2/g,,,,27.951,,4.5,,,,,,AUSTRAITS_dataset_8,
Ligustrum lucidum,12.006,mm2/mg,,,,27.951,,4.5,,,,,,AUSTRAITS_dataset_52,
Embelia australiana,,,,,,27.97,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,27.97,,,,,,,,Gallagher_field_workPHD,
Capparis arborea,7.522,m2/kg,,,,27.995,0.672,,,,,,,AUSTRAITS_dataset_28,
Lomandra longifolia,1.824, mm2/g,,,,28.125,,0.8,,,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,28.13,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,28.16,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,28.16,,,,,,,,AUSTRAITS_dataset_68,
Tabernaemontana pandacaqui,,,,,,28.175,,4,,,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,28.33,,,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,28.33,,,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,28.33,,,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,28.35,400,30,,,,,,AUSTRAITS_dataset_49,
Ixora beckleri,,,,,,28.5,,,,,,,,AUSTRAITS_dataset_68,
Ixora beckleri,,,,,,28.5,,,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,94.5,cm2/g,,,,28.581,,,,,,,,AUSTRAITS_dataset_3,
Trophis scandens,,,,,,28.67,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,14.663, mm2/g,,,,28.695,,1.5,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,28.695,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,14.663,mm2/mg,,,,28.695,,1.5,,,,,,AUSTRAITS_dataset_52,
Cissus hypoglauca,15.833, mm2/g,,,,28.756,,1,,,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,28.756,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,15.833,mm2/mg,,,,28.756,,1,,,,,,AUSTRAITS_dataset_52,
Euroschinus falcatus,,,,,,28.94,,,,,,,,Gallagher_field_workPHD,
Dysoxylum rufum,,,,,,29,,,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,,,,,,29.333,,,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,,,,,,29.333,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,84.318, cm2/g,,,,29.371,,,,,,,,AUSTRAITS_dataset_12,
Cinnamomum oliveri,,,,,,29.4,463,25,,,,,,AUSTRAITS_dataset_49,
Planchonella australis,,,,,,29.4,756.8,40,251.327,,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,7.215, mm2/g,,,,29.577,,3,,,,,,AUSTRAITS_dataset_8,
Pittosporum undulatum,7.215,mm2/mg,,,,29.577,,3,,,,,,AUSTRAITS_dataset_52,
Pittosporum undulatum,,,,,,29.58,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,29.63,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,29.63,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,8.739,m2/kg,,,,29.64,0.502,,,,,,,AUSTRAITS_dataset_28,
Pittosporum undulatum,,,,,,29.79,,,,,,,,Gallagher_field_workPHD,
Ficus fraseri,,,,,,29.925,390,35,,,,,,AUSTRAITS_dataset_49,
Ixora beckleri,,,,,,29.925,825.6,15,,,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,9.84,mm2/mg,,,,30,,4,169.46,,,,,AUSTRAITS_dataset_10,
Ficus fraseri,,,,,,30,,,,,,,,AUSTRAITS_dataset_68,
Ficus fraseri,,,,,,30,,,,,,,,AUSTRAITS_dataset_68,
Hymenosporum flavum,,,,,,30,,,,,,,,AUSTRAITS_dataset_68,
Hymenosporum flavum,,,,,,30,,,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,30.03,780,9,,,,,,AUSTRAITS_dataset_49,
Cupaniopsis anacardioides,,,,,,30.13,,,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,,,30.52,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,15.655, mm2/g,,,,30.521,,3,,,,,,AUSTRAITS_dataset_8,
Castanospermum australe,,,,,,30.625,583,35,23561.945,,,,,AUSTRAITS_dataset_49,
Cryptocarya macdonaldii,,,,,,30.8,,30,,,,,,AUSTRAITS_dataset_49,
Hymenosporum flavum,,,,,,30.87,570,28,,,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,30.9,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,30.9,,,,,,,,Gallagher_field_workPHD,
Lophostemon confertus,,,,,,30.92,,,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,30.95,,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,,,31,,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,11.054, mm2/g,,,,31.096,,17,,,,,,AUSTRAITS_dataset_8,
Syzygium oleosum,,,,,,31.1,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,11.593,m2/kg,,,,31.151,0.556,,,,,,,AUSTRAITS_dataset_28,
Stephania japonica,,,,,,31.17,,,,,,,,AUSTRAITS_dataset_68,
Stephania japonica,,,,,,31.17,,,,,,,,AUSTRAITS_dataset_68,
Ficus fraseri,22.428,m2/kg,,,,31.232,0.406,,,,,,,AUSTRAITS_dataset_28,
Micromelum minutum,,,,,,31.238,,9,,,,,,AUSTRAITS_dataset_49,
Beilschmiedia obtusifolia,,,,,,31.51,,,,,,,,Gallagher_field_workPHD,
