"","gaugeID","gaugeName","MDF","CV","MDFAnnZer","CVAnnZer","MDFMDFWet","MDFMDFDry","CVMDFWet","CVMDFDry","HSPeak","HSMeanDur","MDFAnnHSNum","CVAnnHSNum","CVAnnHSPeak","CVAnnHSMeanDur","LSPeak","LSMeanDur","MDFAnnLSNum","CVAnnLSNum","CVAnnLSPeak","CVAnnLSMeanDur","MRateRise","MRateFall","CVAnnMRateRise","CVAnnMRateFall","BFI","CVAnnBFI","PS1YrARI","PS2YrARI","PS10YrARI","C_MDFM","M_MDFM","C_MinM","M_MinM","C_MaxM","M_MaxM","regulation","site","siteName","replicate","DECLAT","DECLONG","X","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness"
"11","138104a","138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]",185.543,4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689,"S13","13. Obi Obi Creek upstream of number 2 crossing ",2,-26.639725,152.790106,"138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]",0.2527399601966,0.875831607274946,0.0836357476403019,0.510816105373528,0.0656178542266888,45,0.844712622232248,0.488322303748727,0.356390318483521,58
"12","138104a","138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]",185.543,4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689,"S12","12. Obi Obi Creek downstream of number 2 crossing ",1,-26.634028,152.783722,"138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]",0.176421191958487,0.767080817020391,0.0920602811412591,0.50966362534713,0.0377305682490995,41,0.90584944993537,0.443360641417414,0.462488808517956,51
"13","138107AB","138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]",196.636,5.348,12.455,2.07,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,3.424,0.781,0.922,0.35,0.080519335,37.181,6.848,0.316,0.574,0.744,1.308132794,0.629132,1.068,1.122,0.179,0.3,13.98586729,52.80318456,119.0110865,0.052,0.08,0.006,0.103,0.32,0.061,0.112021518,"S16","16. Six Mile Creek at Grahams Road",2,-26.342028,152.864111,"138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]",0.186753513688769,0.934768771105201,0.0188180352328501,0.4797072531785,0.0516602950885483,22,0.435439160487212,0.290323259486051,0.145115901001162,27
"14","138107AB","138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]",196.636,5.348,12.455,2.07,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,3.424,0.781,0.922,0.35,0.080519335,37.181,6.848,0.316,0.574,0.744,1.308132794,0.629132,1.068,1.122,0.179,0.3,13.98586729,52.80318456,119.0110865,0.052,0.08,0.006,0.103,0.32,0.061,0.112021518,"S15"," 15. Six Mile Creek at Old Noosa Road ",1,-26.329694,152.809194,"138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]",0.178022084209281,0.735244623770909,0.0255535737495492,0.60504136245376,0.0409623150099857,25,0.819621694399632,0.425158404237547,0.394463290162085,25
"15","138111A","138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]",606.124,6.586,8.667,1.851,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,2.424,0.868,0.829,0.383,0.099014393,30.881,6.636,0.394,0.494,0.605,1.285139674,0.494774997,1.39,1.264,0.241,0.363,16.6500551,47.77282041,152.4139664,0.065,0.074,0.028,0.081,0.221,0.062,0.072890363,"S24","24. Mary River at Moy Pocket north of quarry ",2,-26.5257,152.7395,"138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]",0.237794214249696,0.776574527955167,0.0497729233232508,0.532489985944533,0.0614768935990628,39,0.911350928299222,0.51935284718231,0.391998081116912,47
"16","138111A","138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]",606.124,6.586,8.667,1.851,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,2.424,0.868,0.829,0.383,0.099014393,30.881,6.636,0.394,0.494,0.605,1.285139674,0.494774997,1.39,1.264,0.241,0.363,16.6500551,47.77282041,152.4139664,0.065,0.074,0.028,0.081,0.221,0.062,0.072890363,"S14","14. Mary River downstream of Walker Road",1,-26.511722,152.746139,"138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]",0.249080630179855,0.902322932326417,0.0607840227476658,0.530750221709381,0.0634637276531623,34,0.904166836711469,0.508994205834149,0.39517263087732,39
"17","138119B","138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]",30.022,1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,"S10","10. Yabba Creek at Stirling Crossing",1,-26.490111,152.627528,"138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]",0.246341317881643,0.827321158647297,0.0905075364763706,0.616814683481869,0.0629742934828549,29,0.877422647120974,0.505926317251108,0.371496329869867,35
"18","138119B","138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]",30.022,1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,"S11"," 11. Yabba Creek at No. 8 Crossing",2,-26.498278,152.591639,"138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]",0.227961016615886,0.889395113966589,0.138150327014668,0.611288406674307,0.0559311287452275,41,0.897815942380579,0.509885334310022,0.387930608070557,56
"19","138903A","138903A [138903A_tinana.csv]",423.205,6.013,0.333,5.099,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,2.444,0.979,0.898,0.332,0.084566581,41.458,6.481,0.465,0.468,0.615,0.831469382,0.387077185,1.062,1.03,0.16,0.49,20.05988351,33.06891459,87.04866908,0.075,0.092,0.016,0.083,0.307,0.076,0.098901964,"S40","40. Tinana Creek at upstream of gauge ",2,-25.8356,152.7229,"138903A [138903A_tinana.csv]",0.215493438898465,0.81996293086067,0.138201063718987,0.515705111900842,0.0507465996563248,44,0.894116518529728,0.484340447504063,0.409776071025664,60
"20","138903A","138903A [138903A_tinana.csv]",423.205,6.013,0.333,5.099,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,2.444,0.979,0.898,0.332,0.084566581,41.458,6.481,0.465,0.468,0.615,0.831469382,0.387077185,1.062,1.03,0.16,0.49,20.05988351,33.06891459,87.04866908,0.075,0.092,0.016,0.083,0.307,0.076,0.098901964,"S39","39. Tinana Creek at gauge site",1,-25.82,152.7222,"138903A [138903A_tinana.csv]",0.225317999459106,0.899474931617572,0.0479538460621175,0.532173498132456,0.0524669053445551,22,0.876139877020745,0.496333062819045,0.379806814201699,28
"21","141008A","141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]",78.001,5.269,23.346,1.489,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,2.385,0.847,0.726,0.347,0.068165793,28.283,7.846,0.34,0.421,0.455,1.111575493,0.537698235,1.062,0.984,0.196,0.321,23.71240112,55.73401623,112.0414995,0.07,0.095,0.02,0.096,0.33,0.088,0.087852935,"S19","19. Eudlo Creek upstream of Bruce Highway ",2,-26.686,152.996361,"141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]",0.203336061893119,0.80155750462543,0.0254586543733279,0.533724748280938,0.0460909189079935,17,0.720312980669976,0.418445119914776,0.3018678607552,21
"22","141008A","141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]",78.001,5.269,23.346,1.489,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,2.385,0.847,0.726,0.347,0.068165793,28.283,7.846,0.34,0.421,0.455,1.111575493,0.537698235,1.062,0.984,0.196,0.321,23.71240112,55.73401623,112.0414995,0.07,0.095,0.02,0.096,0.33,0.088,0.087852935,"S18","18. Eudlo Creek at gauge site",1,-26.662528,153.018139,"141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]",0.231310153489701,0.803285814278604,0.146247599796158,0.600250679118829,0.0589887685136188,52,0.911807706445889,0.51016690269009,0.401640803755798,63
"23","141009A","141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]",57.091,5.573,6.154,2.241,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,3.615,0.686,0.641,0.245,0.078646372,19.354,12.538,0.301,0.35,0.374,1.704401745,0.865968366,0.742,0.926,0.137,0.345,24.87269447,59.94244277,117.4949817,0.045,0.097,0.02,0.103,0.392,0.063,0.073307437,"S36","36. North Maroochy River at North Arm-Yandina Creek Road",2,-26.5231,152.96,"141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]",0.192425502092965,0.766116675873627,0.11628070747993,0.535682675104215,0.0441592508372509,39,0.835992405434519,0.445623600986029,0.39036880444849,43
"24","141009A","141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]",57.091,5.573,6.154,2.241,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,3.615,0.686,0.641,0.245,0.078646372,19.354,12.538,0.301,0.35,0.374,1.704401745,0.865968366,0.742,0.926,0.137,0.345,24.87269447,59.94244277,117.4949817,0.045,0.097,0.02,0.103,0.392,0.063,0.073307437,"S35","35. North Maroochy River at Eumundi",1,-26.4697,152.9544,"141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]",0.175975776597376,0.846178878905818,0.0213830686287861,0.430858179880449,0.0382285500670306,22,0.819192072407569,0.424674520700013,0.394517551707556,25
"25","143112A","143112A [reynolds_short.csv]",99.23,2.776,3.1,1.933,1.788763479,1.139836743,0,0,26.50306359,7.7,1,1.183,0.658,0.479,0.062027613,7.951,7.7,0.439,0.45,0.654,0.336964628,0.139544493,1.466,0.613,0.413,0.322,2.807739595,15.51001713,51.97109745,0.312,0.163,0.357,0.128,0.304,0.114,0.379947512,"S21","21. Reynolds Creek at downstream of Purdons Bridge ",2,-28.000694,152.569917,"143112A [reynolds_short.csv]",0.240484213165987,0.784521798207082,0.175645743311737,0.744510338343519,0.0633056112502876,39,0.933955762727602,0.535690341643001,0.398265421084601,46
"26","143112A","143112A [reynolds_short.csv]",99.23,2.776,3.1,1.933,1.788763479,1.139836743,0,0,26.50306359,7.7,1,1.183,0.658,0.479,0.062027613,7.951,7.7,0.439,0.45,0.654,0.336964628,0.139544493,1.466,0.613,0.413,0.322,2.807739595,15.51001713,51.97109745,0.312,0.163,0.357,0.128,0.304,0.114,0.379947512,"S20","20. Reynolds Creek at Yarramalong camp ground ",1,-28.011556,152.556528,"143112A [reynolds_short.csv]",0.172003923834927,0.715764606334007,0.0503181936584835,0.603464940089562,0.0392671169121136,49,0.913200526555794,0.443513810724464,0.46968671583133,59
"27","143303A","143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]",150.434,4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519,"S1","1. Stanley River at Cove Road",1,-26.919739,152.772544,"143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]",0.231121743884765,0.865087323632239,0.037703809428988,0.495129736731565,0.0553071003387293,17,0.840710174571959,0.490012598798409,0.35069757577355,20
"28","143303A","143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]",150.434,4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519,"S26","26. Stanley River at gauge site",2,-26.8392,152.8403,"143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]",0.164067922579047,0.817283520796652,0.0029103120829231,0.451054105811964,0.0374717202288198,12,0.580464675812837,0.339791396991554,0.240673278821283,13
"29","145002B","146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]",39.082,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,"S6","6. Nerang River at Weber Court near Chantrill Avenue ",2,-28.005972,153.313944,"146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]",0.152504044351881,0.623896980500015,0.0938918807815514,0.54570558162237,0.0304564684455403,53,0.931474724777228,0.433513117447589,0.497961607329639,64
"30","145002B","146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]",39.082,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904,"S4"," 4. Nerang River at Grand Manor Golf Course",1,-28.022306,153.302583,"146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]",0.21999404442849,0.867997186083173,0.0857385132710983,0.628790054149169,0.0541302799668623,38,0.909540032522808,0.5102459253009,0.399294107221908,48
"31","145011A","145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv]",31.238,7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA,"S8","8. Teviot Brook at Croftby",2,-28.156194,152.571833,NA,0.232659249554459,0.882244139248324,0.0429772641473178,0.578559411597842,0.0566974514498374,22,0.869898046738645,0.508974707502717,0.360923339235927,24
"32","145011A","145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv]",31.238,7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA,"S7","7. Teviot Brook near Brennan Road1 ",1,-28.162139,152.558306,NA,0.183065705674082,0.801161367596874,0.0118012383580007,0.51066420863492,0.0359437202135979,16,0.649764165246671,0.366778691334254,0.282985473912417,19
"33","145012A","FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]",117.31,8.92,97.606,1.126,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,2.485,0.83,0.935,0.327,0.068050465,43.014,7.121,0.42,0.655,1.127,2.433245248,0.844744694,1.066,1.409,0.107,0.693,28.43396982,74.95944932,208.5145853,0.157,0.074,0.113,0.09,0.486,0.04,0.087980781,"S44","44. Teviot Brook at Wyaralong b",2,-27.9061,152.8583,"145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]",0.2188894836672,0.799938222759674,0.059056491814833,0.598266441462706,0.0515564914124689,25,0.865330585501224,0.474162899118516,0.391167686382708,28
"34","145012A","FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]",117.31,8.92,97.606,1.126,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,2.485,0.83,0.935,0.327,0.068050465,43.014,7.121,0.42,0.655,1.127,2.433245248,0.844744694,1.066,1.409,0.107,0.693,28.43396982,74.95944932,208.5145853,0.157,0.074,0.113,0.09,0.486,0.04,0.087980781,"S43","43. Teviot Brook at Wyaralong a",1,27.8969,152.9014,"145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]",0.188700613155365,0.783596968796241,0.0579624605435356,0.560882649757895,0.0428093033612218,22,0.87478370840188,0.452631050587376,0.422152657814504,22
"35","145018A","145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv]",30.356,5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA,"S2","2. Burnett Creek downstream of gauge 145018a ",1,-28.216333,152.613778,NA,0.211090020799302,0.755629058906883,0.0449569532039749,0.552506913547435,0.0556382259140241,34,0.898703394654306,0.494040385218263,0.404663009436043,38
"36","145018A","145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv]",30.356,5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA,"S3","3. Burnett Creek upstream of gauge 145018a",2,-28.227389,152.604028,NA,0.199001917937072,0.821651819873435,0.00879105407787517,0.604697985237519,0.0492075631678692,25,0.828532738948386,0.452116225134916,0.37641651381347,28
"37","145020A","145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]",197.653,5.327,0.455,3.946,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,2.333,0.965,0.763,0.502,0.111685631,11.553,14.394,0.367,0.289,0.51,0.989441091,0.468553475,1.132,1.263,0.249,0.485,26.80926675,56.6587555,119.8170126,0.148,0.074,0.153,0.09,0.267,0.035,0.108089453,"S42","42. Logan River at upstream Tilleys Bridge ",2,28.2233,152.8583,"145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]",0.247281893554755,0.855469448610272,0.0114783806630372,0.587117339777332,0.0630034558908732,21,0.837680495459713,0.496292977946431,0.341387517513282,22
"38","145020A","145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]",197.653,5.327,0.455,3.946,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,2.333,0.965,0.763,0.502,0.111685631,11.553,14.394,0.367,0.289,0.51,0.989441091,0.468553475,1.132,1.263,0.249,0.485,26.80926675,56.6587555,119.8170126,0.148,0.074,0.153,0.09,0.267,0.035,0.108089453,"S41","41. Logan River at Running Creek Road ",1,-28.2128,152.8739,"145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]",0.185200123939143,0.791596809361844,0.00243672436405381,0.598684461544171,0.0365418453459287,14,0.739308084979581,0.4035285524817,0.335779532497881,15
