"","CV","MDFAnnZer","CVAnnZer","MDFMDFWet","MDFMDFDry","CVMDFWet","CVMDFDry","HSPeak","HSMeanDur","MDFAnnHSNum","CVAnnHSNum","CVAnnHSPeak","CVAnnHSMeanDur","LSPeak","LSMeanDur","MDFAnnLSNum","CVAnnLSNum","CVAnnLSPeak","CVAnnLSMeanDur","MRateRise","MRateFall","CVAnnMRateRise","CVAnnMRateFall","BFI","CVAnnBFI","PS1YrARI","PS2YrARI","PS10YrARI","C_MDFM","M_MDFM","C_MinM","M_MinM","C_MaxM","M_MaxM","regulation","site","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness","exotics","SLA","seed.mass","maximum.height","flowering.duration","wood.density","leaf.area"
"18",1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735,11,0.212044929437122,0.870396687266822,0.119324580529905,0.534013379803937,0.0458277807280362,45,0.844712622232248,0.458709882178876,0.386002740053372,58,0.0935471389671351,1.10258534525753,1.77707928128693,3.2625562880596,2.04609286623668,0.562740014086173,6.03421382735477
"12",4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689,12,0.159696755998684,0.769098321254386,0.119200740621463,0.528275214534927,0.029925265694538,41,0.90584944993537,0.428539555635174,0.477309894300196,51,0.0351135544474007,1.15272793364451,1.98262126791858,4.50408823724126,2.01505553591941,0.596355617853578,5.09738393785892
"11",4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689,13,0.147911422593215,0.944509123580497,0.0271346426100265,0.46048998906537,0.0327728813414416,22,0.435439160487212,0.2629628396902,0.172476320797012,27,0.0904229847010465,1.15053144029135,0.614223417137975,2.16575719960807,2.35801943264301,0.473467043701209,8.48664164341417
"16",6.586,8.667,1.851,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,2.424,0.868,0.829,0.383,0.099014393,30.881,6.636,0.394,0.494,0.605,1.285139674,0.494774997,1.39,1.264,0.241,0.363,16.6500551,47.77282041,152.4139664,0.065,0.074,0.028,0.081,0.221,0.062,0.072890363,14,0.164235050199173,0.749820095467758,0.0387726804803094,0.438168073352923,0.0315703628269189,25,0.819621694399632,0.408307051500864,0.411314642898768,25,0.0617441618994327,1.18716780583822,1.360124424797,4.38440309196802,2.49391639407026,0.5495210122845,5.13504428899507
"14",5.348,12.455,2.07,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,3.424,0.781,0.922,0.35,0.080519335,37.181,6.848,0.316,0.574,0.744,1.308132794,0.629132,1.068,1.122,0.179,0.3,13.98586729,52.80318456,119.0110865,0.052,0.08,0.006,0.103,0.32,0.061,0.112021518,15,0.199461938958483,0.75904671699599,0.0843566263041296,0.543666349135996,0.0427502981118702,39,0.911350928299222,0.480196955216426,0.431153973082797,47,0.0118978377613728,1.11545382483232,1.15438681390628,3.17848723668941,2.27715171201449,0.557604669961561,5.2310794197177
"13",5.348,12.455,2.07,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,3.424,0.781,0.922,0.35,0.080519335,37.181,6.848,0.316,0.574,0.744,1.308132794,0.629132,1.068,1.122,0.179,0.3,13.98586729,52.80318456,119.0110865,0.052,0.08,0.006,0.103,0.32,0.061,0.112021518,16,0.214928538692712,0.908296773647727,0.0932354723539802,0.546196397482289,0.0468322261070417,34,0.904166836711469,0.479415020731317,0.424751815980153,39,0.0169339071328159,1.02785010132323,1.02007711712093,2.9990749385582,2.27072314232586,0.572172861193207,5.5165369527819
"6",11.56,37.034,1.414,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,2.103,0.903,1.08,0.472,0.084747847,42.371,6.966,0.456,0.67,0.719,1.899434194,0.772792128,1.692,2.118,0.141,0.566,16.03121771,61.36932349,263.8699385,0.112,0.067,0.049,0.077,0.38,0.047,0.157410179,17,0.212212478848835,0.863711189665877,0.114874813783739,0.633061690775921,0.046257461352934,29,0.877422647120974,0.476101398367,0.401321248753974,35,0.216648267768611,1.07152729692326,0.797772750202096,3.35913851797612,2.23073750658772,0.613665479448904,4.68023649077497
"22",5.269,23.346,1.489,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,2.385,0.847,0.726,0.347,0.068165793,28.283,7.846,0.34,0.421,0.455,1.111575493,0.537698235,1.062,0.984,0.196,0.321,23.71240112,55.73401623,112.0414995,0.07,0.095,0.02,0.096,0.33,0.088,0.087852935,18,0.200574586762416,0.925735599470775,0.147661625360424,0.597575634085102,0.0427184609317248,41,0.897815942380579,0.482395877355257,0.415420065025322,56,0.0492160007188532,1.07454471906705,1.05603632308573,3.19068449070223,2.34554178603932,0.593748646076222,5.64967408193731
"21",5.269,23.346,1.489,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,2.385,0.847,0.726,0.347,0.068165793,28.283,7.846,0.34,0.421,0.455,1.111575493,0.537698235,1.062,0.984,0.196,0.321,23.71240112,55.73401623,112.0414995,0.07,0.095,0.02,0.096,0.33,0.088,0.087852935,19,0.191505999555448,0.834901533501447,0.182597421663598,0.481654254172957,0.0392146440059397,44,0.894116518529728,0.460337219873465,0.433779298656263,60,0.0107361355850102,1.11282711993846,1.620974722519,3.83621465769248,2.12925019900197,0.57215788291118,5.37568810192839
"26",2.776,3.1,1.933,1.788763479,1.139836743,0,0,26.50306359,7.7,1,1.183,0.658,0.479,0.062027613,7.951,7.7,0.439,0.45,0.654,0.336964628,0.139544493,1.466,0.613,0.413,0.322,2.807739595,15.51001713,51.97109745,0.312,0.163,0.357,0.128,0.304,0.114,0.379947512,20,0.207293307483903,0.920347179699484,0.0547381356307921,0.559461932291609,0.0443798678419322,22,0.876139877020745,0.478275152976957,0.397864724043788,28,0.243003310465302,1.11900056606153,0.755446709360889,3.16280865523611,2.25228202652,0.552801966794836,4.71616058852666
"25",2.776,3.1,1.933,1.788763479,1.139836743,0,0,26.50306359,7.7,1,1.183,0.658,0.479,0.062027613,7.951,7.7,0.439,0.45,0.654,0.336964628,0.139544493,1.466,0.613,0.413,0.322,2.807739595,15.51001713,51.97109745,0.312,0.163,0.357,0.128,0.304,0.114,0.379947512,21,0.196368092334195,0.857827356680641,0.0195748407235937,0.5086501300399,0.0433859328485489,17,0.720312980669976,0.412464550035382,0.307848430634593,21,0.476297968397291,1.09225225925604,0.639010061954789,3.96914087953218,2.12658998319567,0.635146303874767,3.37064613418045
"10",12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725,22,0.192532702859434,0.852404801399799,0.166310958804774,0.571553772972552,0.0403199114055537,52,0.911807706445889,0.470490962265399,0.441316744180489,63,0.00520185367814494,1.1241665281425,1.50928491818981,3.75380561301,1.98714038553346,0.598486049419671,4.97857946147165
"5",11.56,37.034,1.414,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,2.103,0.903,1.08,0.472,0.084747847,42.371,6.966,0.456,0.67,0.719,1.899434194,0.772792128,1.692,2.118,0.141,0.566,16.03121771,61.36932349,263.8699385,0.112,0.067,0.049,0.077,0.38,0.047,0.157410179,23,0.170697961786335,0.816956131901728,0.123356909512366,0.480759729324034,0.0335995599499662,39,0.835992405434519,0.422637123370235,0.413355282064284,43,0.396861488664449,1.15229538171246,1.54584574688478,4.42208464854486,2.08100409258347,0.616420718912346,4.50378780613748
"15",6.586,8.667,1.851,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,2.424,0.868,0.829,0.383,0.099014393,30.881,6.636,0.394,0.494,0.605,1.285139674,0.494774997,1.39,1.264,0.241,0.363,16.6500551,47.77282041,152.4139664,0.065,0.074,0.028,0.081,0.221,0.062,0.072890363,24,0.167059296666064,0.86074788292274,0.0311345626236132,0.472159633164618,0.0320184939782078,22,0.819192072407569,0.413142220267484,0.406049852140085,25,0.107658638947109,1.19602631596667,1.80368628632055,4.6479965198545,2.43267325876224,0.560262752483585,5.2944701786699
"41",6.033,15.121,1.963,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,2,0.788,0.85,0.407,0.092796227,19.2,9.606,0.376,0.348,0.474,0.958458569,0.394716907,0.948,1.092,0.228,0.341,17.16385651,57.61155096,145.1138357,0.08,0.091,0.063,0.084,0.25,0.08,0.03225678,25,0.210936667258399,0.824508602022309,0.228259484424528,0.692101172760514,0.0475034012299504,39,0.933955762727602,0.504683195900527,0.429272566827075,46,0.102613482996799,1.19889871259675,1.16577778599216,3.48530562050452,2.59481596115753,0.588480621551648,4.76991725373765
"28",4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519,26,0.148325766795099,0.687738706994245,0.0716775167796367,0.568817453758358,0.0280253384977903,49,0.913200526555794,0.41611024004761,0.497090286508184,59,0.0476808937325263,1.16667563576758,1.86905664039709,4.37143069756851,1.96054059600124,0.577481242333779,5.47990474701966
"40",2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,4.844480835,17.9559388,41.80438565,0.125,0.077,0.177,0.062,0.316,0.057,0.211616851,27,0.224692779873272,0.913365795999159,0.0564147603384402,0.492920003418404,0.0525531433200633,17,0.840710174571959,0.483102248323687,0.357607926248272,20,0.191575340799186,1.09696383755087,0.25545606547779,2.99030986213704,2.19631167835708,0.604200949599457,3.47250090320733
"39",2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,4.844480835,17.9559388,41.80438565,0.125,0.077,0.177,0.062,0.316,0.057,0.211616851,28,0.147603718013606,0.893128516950123,0.00461923267066794,0.500378551361973,0.0289713655073212,12,0.580464675812837,0.321799649955871,0.258665025856966,13,0.273247114286017,1.2134770693351,3.1015296622635,5.07840251554448,2.05292394870049,0.600636828642784,5.35179564725142
"43",3.979,8.316,2.639,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,3,0.725,0.543,0.31,0.097974917,18.964,9.474,0.355,0.315,0.531,1.213573428,0.447857937,0.692,0.874,0.248,0.331,18.7963794,39.01854409,76.88633836,0.069,0.156,0.051,0.154,0.213,0.094,0.103742363,29,0.140808341498214,0.67600018830062,0.136442639961252,0.535597184649383,0.0239091279685926,53,0.931474724777228,0.417614800395334,0.513859924381894,64,0.250546472290922,1.12838194413892,1.45835286475053,3.98163719704496,2.16639341950113,0.605603193516138,4.68787677269675
"44",3.979,8.316,2.639,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,3,0.725,0.543,0.31,0.097974917,18.964,9.474,0.355,0.315,0.531,1.213573428,0.447857937,0.692,0.874,0.248,0.331,18.7963794,39.01854409,76.88633836,0.069,0.156,0.051,0.154,0.213,0.094,0.103742363,30,0.194970045364412,0.886711658058699,0.0750207044351064,0.584933032700769,0.0409694348517825,38,0.909540032522808,0.480609502149827,0.428930530372981,48,0.0293214862681745,1.11972812913765,1.70227475695726,4.12686228459622,2.04250169037282,0.568606385965626,7.07284409639742
"4",9.583,101.576,0.967,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,2.182,0.94,0.813,0.547,0.073068121,57.578,5.727,0.505,0.773,0.955,2.694796703,1.133136604,1.424,2.255,0.123,0.799,17.96204209,69.50112704,219.7135348,0.185,0.074,0.121,0.068,0.457,0.042,0.182718591,31,0.207506845520321,0.92726845638545,0.0546578443149366,0.641419277560284,0.0445948655835379,22,0.869898046738645,0.482356246921309,0.387541799817335,24,0.582416906845231,1.18970259887966,0.940376423872835,3.28469658509598,2.18971834118135,0.584570773982269,4.28767153641743
"3",9.583,101.576,0.967,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,2.182,0.94,0.813,0.547,0.073068121,57.578,5.727,0.505,0.773,0.955,2.694796703,1.133136604,1.424,2.255,0.123,0.799,17.96204209,69.50112704,219.7135348,0.185,0.074,0.121,0.068,0.457,0.042,0.182718591,32,0.174040353256073,0.90680102446191,0.0189634266812486,0.438521186865965,0.031845006161434,16,0.649764165246671,0.356527925045231,0.29323624020144,19,0.86255583859982,1.04807832019228,1.34639277324175,3.47056532663672,1.98073048256591,0.661815006426365,2.29339916252758
"8",7.339,56.606,1.306,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,2.242,0.829,0.811,0.425,0.058321024,40.891,7.606,0.325,0.519,0.516,1.302610803,0.598883787,1.166,1.139,0.1,0.632,22.19790583,63.38431845,154.3072714,0.143,0.086,0.08,0.091,0.497,0.045,0.055746011,33,0.204408599754888,0.851097279936597,0.0726747078679621,0.617438297380363,0.0445383697357892,25,0.865330585501224,0.459984701981922,0.405345883519301,28,0.0223887163092591,1.17038686237478,1.52145712119256,3.89933460594162,2.0182831913118,0.55550311037905,4.366103095226
"7",7.339,56.606,1.306,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,2.242,0.829,0.811,0.425,0.058321024,40.891,7.606,0.325,0.519,0.516,1.302610803,0.598883787,1.166,1.139,0.1,0.632,22.19790583,63.38431845,154.3072714,0.143,0.086,0.08,0.091,0.497,0.045,0.055746011,34,0.176605018878321,0.867961796915829,0.0790881934849782,0.540481981368262,0.0367604418788535,22,0.87478370840188,0.439667952045958,0.435115756355923,22,0.079956966265099,1.22266660126425,1.81739189869204,4.57785606019056,2.1534399952077,0.59511805903809,3.78138484567505
"24",5.573,6.154,2.241,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,3.615,0.686,0.641,0.245,0.078646372,19.354,12.538,0.301,0.35,0.374,1.704401745,0.865968366,0.742,0.926,0.137,0.345,24.87269447,59.94244277,117.4949817,0.045,0.097,0.02,0.103,0.392,0.063,0.073307437,35,0.181608627582097,0.801103480201317,0.0676290002924076,0.588294363890293,0.0381852225354171,34,0.898703394654306,0.458760388329345,0.439943006324961,38,0.227048778248531,1.18393521173676,1.5675855311848,3.59475367928684,2.27277516974183,0.538421912420991,7.18698927421337
"23",5.573,6.154,2.241,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,3.615,0.686,0.641,0.245,0.078646372,19.354,12.538,0.301,0.35,0.374,1.704401745,0.865968366,0.742,0.926,0.137,0.345,24.87269447,59.94244277,117.4949817,0.045,0.097,0.02,0.103,0.392,0.063,0.073307437,36,0.184824227390697,0.84793058791317,0.0122937249479954,0.678722930058411,0.0396269559628433,25,0.828532738948386,0.436963906867759,0.391568832080627,28,0.0630809880619507,1.17887033923174,2.02227404102557,4.79878839049449,2.28160075766298,0.546522613927146,6.18107850591621
"1",5.878,1.727,2.614,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,2.727,0.881,0.825,0.438,0.086182581,35.074,6.909,0.454,0.431,0.604,0.750894584,0.300746161,1.145,1.026,0.196,0.405,17.00050555,35.22671333,100.8330118,0.061,0.08,0.029,0.086,0.26,0.068,0.084167315,37,0.206255261327585,0.873410604609233,0.0152836170078393,0.623970519423127,0.0431876292706147,21,0.837680495459713,0.45899691469221,0.378683580767504,22,0.152918477209689,1.18876552142155,1.32101856581467,3.43108721721995,2.50118352832845,0.5477757609379,5.92766070238785
"2",5.878,1.727,2.614,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,2.727,0.881,0.825,0.438,0.086182581,35.074,6.909,0.454,0.431,0.604,0.750894584,0.300746161,1.145,1.026,0.196,0.405,17.00050555,35.22671333,100.8330118,0.061,0.08,0.029,0.086,0.26,0.068,0.084167315,38,0.174049963147962,0.895299270575192,0.001872079223583,0.591888162995535,0.0317813802060855,14,0.739308084979581,0.391317444819768,0.347990640159814,15,0.352450279361955,1.1035715384427,0.898047944647337,3.92808502965115,2.29841321026231,0.618280977812903,3.35554341696289
"20",6.013,0.333,5.099,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,2.444,0.979,0.898,0.332,0.084566581,41.458,6.481,0.465,0.468,0.615,0.831469382,0.387077185,1.062,1.03,0.16,0.49,20.05988351,33.06891459,87.04866908,0.075,0.092,0.016,0.083,0.307,0.076,0.098901964,39,0.209647884819101,0.893015619752343,0.060810069032558,0.610465454407083,0.0449744650347421,31,0.873954945138344,0.478467945581679,0.395486999556665,35,0.00275038758614471,1.1888541787678,1.27819557585432,2.98165888923678,2.42962233374459,0.548630088435953,6.33607466833611
"19",6.013,0.333,5.099,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,2.444,0.979,0.898,0.332,0.084566581,41.458,6.481,0.465,0.468,0.615,0.831469382,0.387077185,1.062,1.03,0.16,0.49,20.05988351,33.06891459,87.04866908,0.075,0.092,0.016,0.083,0.307,0.076,0.098901964,40,0.156906470194479,0.922316549277012,0.0908259980540076,0.600477923546103,0.0314690172377341,24,0.667189878458645,0.349376405668237,0.317813472790408,33,0.00169993406879132,0.901111233509983,1.14951284996793,2.07511690120695,2.18468153446222,0.569638979828804,6.17612341175589
"38",5.327,0.455,3.946,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,2.333,0.965,0.763,0.502,0.111685631,11.553,14.394,0.367,0.289,0.51,0.989441091,0.468553475,1.132,1.263,0.249,0.485,26.80926675,56.6587555,119.8170126,0.148,0.074,0.153,0.09,0.267,0.035,0.108089453,41,0.219303567158702,0.916190341634058,0.031330297417634,0.584120420475792,0.0497201647329001,17,0.799037582173504,0.461647851868484,0.33738973030502,20,0.109023019162119,1.1234607862019,0.685173322742079,2.86615279907312,2.67356560236627,0.550001784784815,5.82921969861766
"37",5.327,0.455,3.946,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,2.333,0.965,0.763,0.502,0.111685631,11.553,14.394,0.367,0.289,0.51,0.989441091,0.468553475,1.132,1.263,0.249,0.485,26.80926675,56.6587555,119.8170126,0.148,0.074,0.153,0.09,0.267,0.035,0.108089453,42,0.170673055004928,0.838245304191433,0.00907467803059566,0.684362590843275,0.0360731702988122,14,0.646908317171223,0.364255626130812,0.282652691040411,16,0.18743559796598,1.17120266772239,2.63394547575073,4.66431327343813,2.10260817453997,0.599927932841408,5.54081643542208
"34",8.92,97.606,1.126,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,2.485,0.83,0.935,0.327,0.068050465,43.014,7.121,0.42,0.655,1.127,2.433245248,0.844744694,1.066,1.409,0.107,0.693,28.43396982,74.95944932,208.5145853,0.157,0.074,0.113,0.09,0.486,0.04,0.087980781,43,0.193364529094545,0.942884861426905,0.0121504210858165,0.584017051518806,0.0386285741031164,15,0.861108588386941,0.453830064468689,0.407278523918252,20,0.287683267004273,1.15028701613271,1.10500906103038,2.90732431372534,2.1025323755448,0.565819108220349,5.06102187365797
"33",8.92,97.606,1.126,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,2.485,0.83,0.935,0.327,0.068050465,43.014,7.121,0.42,0.655,1.127,2.433245248,0.844744694,1.066,1.409,0.107,0.693,28.43396982,74.95944932,208.5145853,0.157,0.074,0.113,0.09,0.486,0.04,0.087980781,44,0.19653208925026,0.912141402694901,0.00345428312857897,0.549359957579611,0.0411493016125975,13,0.83286642419178,0.450057370525784,0.382809053665996,15,0.41782747132139,1.15268804291481,0.923895034114403,3.22207730838021,2.15826095078716,0.604032742761689,3.6700694761988
