"","Taxon","wood.density","source"
"1123","Ficus racemosa",0.353,"AUSTRAITS_dataset_34"
"1124","Ficus racemosa",0.413,"AUSTRAITS_dataset_34"
"1125","Ficus racemosa",0.344,"AUSTRAITS_dataset_34"
"1127","Ficus virens",0.34,"AUSTRAITS_dataset_49"
"1128","Ficus virens",0.344,"AUSTRAITS_dataset_34"
"1133","Ficus watkinsiana",0.37,"AUSTRAITS_dataset_49"
"1135","Ficus watkinsiana",0.331,"AUSTRAITS_dataset_34"
"1136","Ficus watkinsiana",0.449,"AUSTRAITS_dataset_34"
"1138","Ficus watkinsiana",0.35,"AUSTRAITS_dataset_34"
"1199","Flindersia schottiana",0.58,"AUSTRAITS_dataset_49"
"1202","Flindersia schottiana",0.596,"AUSTRAITS_dataset_34"
"1203","Flindersia schottiana",0.602,"AUSTRAITS_dataset_34"
"1204","Flindersia schottiana",0.571,"AUSTRAITS_dataset_34"
"1205","Flindersia schottiana",0.574,"AUSTRAITS_dataset_34"
"1206","Flindersia schottiana",0.581,"AUSTRAITS_dataset_34"
"1209","Flindersia schottiana",0.59,"AUSTRAITS_dataset_34"
"1262","Glochidion ferdinandi",0.5977,"AUSTRAITS_dataset_49"
"1267","Glochidion ferdinandi",0.49,"AUSTRAITS_dataset_30"
"1285","Glochidion ferdinandi",0.579,"AUSTRAITS_dataset_34"
"1286","Glochidion ferdinandi",0.607,"AUSTRAITS_dataset_34"
"1292","Glochidion ferdinandi",0.665265627,"J. Lawson"
"1296","Grevillea robusta",0.516,"AUSTRAITS_dataset_49"
"1300","Grevillea robusta",0.535,"AUSTRAITS_dataset_34"
"1301","Grevillea robusta",0.51,"AUSTRAITS_dataset_34"
"1302","Grevillea robusta",0.525,"AUSTRAITS_dataset_34"
"1303","Grevillea robusta",0.536,"AUSTRAITS_dataset_34"
"1304","Grevillea robusta",0.495,"AUSTRAITS_dataset_34"
"1305","Grevillea robusta",0.534,"AUSTRAITS_dataset_34"
"1306","Grevillea robusta",0.517,"AUSTRAITS_dataset_34"
"1307","Grevillea robusta",0.554,"AUSTRAITS_dataset_34"
"1308","Grevillea robusta",0.538,"AUSTRAITS_dataset_34"
"1314","Grevillea robusta",0.520687229,"Global Wood Density Database average"
"1326","Guioa semiglauca",0.6622,"AUSTRAITS_dataset_49"
"1347","Guioa semiglauca",0.77,"Kooyman RM,  Westoby M. 2009. Costs of height gain in rainforest saplings: main-stem scaling, functional traits and strategy variation across 75 species. Annals of Botany 104: 987-993"
"1354","Helicia glabriflora",0.5762,"AUSTRAITS_dataset_49"
"1385","Hodgkinsonia ovatiflora",0.8256,"AUSTRAITS_dataset_49"
"1390","Hymenosporum flavum",0.57,"AUSTRAITS_dataset_49"
"1395","Hymenosporum flavum",0.607,"AUSTRAITS_dataset_34"
"1406","Ixora beckleri",0.8256,"AUSTRAITS_dataset_49"
"1416","Jagera pseudorhus",0.63,"AUSTRAITS_dataset_49"
"1420","Jagera pseudorhus",0.676,"AUSTRAITS_dataset_34"
"1463","Leucaena leucocephala",0.76,"Zanne, A.E., Lopez-Gonzalez, G.*, Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J. 2009. Global wood density database. Dryad. Identifier: http://hdl.handle.net/10255/dryad.235. http://hdl.handle.net/10255/dryad.235"
"1479","Ligustrum lucidum",0.57942,"Global Wood Density Database average"
"1491","Ligustrum sinense",0.612,"Martínez-Cabrera HI, Jones CS, Espino S, Schenk HJ. 2009.  Wood anatomy and wood density in shrubs: Responses to varying aridity along transcontinental transects. American Journal of Botany 96: 1388-1398"
"1527","Lophostemon confertus",0.69,"AUSTRAITS_dataset_49"
"1530","Lophostemon confertus",0.73,"AUSTRAITS_dataset_34"
"1531","Lophostemon confertus",0.724,"AUSTRAITS_dataset_34"
"1532","Lophostemon confertus",0.762,"AUSTRAITS_dataset_34"
"1533","Lophostemon confertus",0.758,"AUSTRAITS_dataset_34"
"1539","Lophostemon suaveolens",0.57,"AUSTRAITS_dataset_61"
"1544","Lophostemon suaveolens",0.46,"AUSTRAITS_dataset_61"
"1548","Lophostemon suaveolens",0.691,"AUSTRAITS_dataset_34"
"1549","Lophostemon suaveolens",0.551,"AUSTRAITS_dataset_34"
"1550","Lophostemon suaveolens",0.704,"AUSTRAITS_dataset_34"
"1551","Lophostemon suaveolens",0.758,"AUSTRAITS_dataset_34"
"1553","Lophostemon suaveolens",0.6,"AUSTRAITS_dataset_34"
"1557","Lophostemon suaveolens",0.577025052,"J. Lawson"
"1600","Mallotus discolor",0.5805,"AUSTRAITS_dataset_49"
"1601","Mallotus discolor",0.633,"AUSTRAITS_dataset_34"
"1604","Mallotus philippensis",0.6,"AUSTRAITS_dataset_49"
"1607","Mallotus philippensis",0.65,"AUSTRAITS_dataset_34"
"1608","Mallotus philippensis",0.56,"AUSTRAITS_dataset_34"
"1647","Melaleuca bracteata",0.87,"AUSTRAITS_dataset_34"
"1656","Melaleuca quinquenervia",0.689,"AUSTRAITS_dataset_34"
"1657","Melaleuca quinquenervia",0.57,"AUSTRAITS_dataset_34"
"1662","Melaleuca quinquenervia",0.751375108,"J. Lawson"
"2795","Melaleuca spp",0.87,"AUSTRAITS_dataset_34"
"1666","Melia azedarach",0.38,"AUSTRAITS_dataset_49"
"1672","Melia azedarach",0.383,"AUSTRAITS_dataset_34"
"1673","Melia azedarach",0.4,"AUSTRAITS_dataset_34"
"1730","Mischarytera lautereriana",0.58,"AUSTRAITS_dataset_34"
"1731","Mischarytera lautereriana",0.607,"AUSTRAITS_dataset_34"
"1733","Mischocarpus australis",0.6493,"AUSTRAITS_dataset_49"
"1738","Mischocarpus pyriformis",0.6,"AUSTRAITS_dataset_49"
"1812","Myrsine variabilis",0.71,"AUSTRAITS_dataset_49"
"1820","Myrsine variabilis",0.784,"AUSTRAITS_dataset_34"
"1825","Myrsine variabilis",0.78351,"Global Wood Density Database"
"1840","Neolitsea dealbata",0.412,"AUSTRAITS_dataset_28"
"1841","Neolitsea dealbata",0.47,"AUSTRAITS_dataset_39"
"1842","Neolitsea dealbata",0.585,"AUSTRAITS_dataset_28"
"1843","Neolitsea dealbata",0.59,"AUSTRAITS_dataset_28"
"1847","Neolitsea dealbata",0.498,"AUSTRAITS_dataset_34"
"1849","Neolitsea dealbata",0.445,"AUSTRAITS_dataset_33"
"1853","Neolitsea dealbata",0.4983,"Global Wood Density Database"
"1865","Notelaea longifolia",0.78,"AUSTRAITS_dataset_49"
"1881","Notelaea longifolia",0.87,"AUSTRAITS_dataset_34"
"1885","Notelaea longifolia",0.86961,"Global Wood Density Database"
"1897","Notelaea microcarpa",0.638719277,"J. Lawson, , as N. microcarpa var. microcarpa"
"1912","Olea paniculata",0.732,"AUSTRAITS_dataset_49"
"1917","Olea paniculata",0.761,"AUSTRAITS_dataset_34"
"1918","Olea paniculata",0.788,"AUSTRAITS_dataset_34"
"1962","Pandorea pandorana",0.4477,"from raw data in  Stuart S. 2011. Cold Comfort: Diversification and Adaptive Evolution across Latitudinal Gradients. PhD thesis, Integrative Biology
UC Berkeley."
"1967","Pararchidendron pruinosum",0.5,"AUSTRAITS_dataset_49"
"1972","Pararchidendron pruinosum",0.525,"AUSTRAITS_dataset_34"
"2066","Pittosporum undulatum",0.731,"AUSTRAITS_dataset_49"
"2070","Pittosporum undulatum",0.508,"AUSTRAITS_dataset_28"
"2076","Pittosporum undulatum",0.556,"AUSTRAITS_dataset_28"
"2078","Pittosporum undulatum",0.683,"AUSTRAITS_dataset_28"
"2100","Pittosporum undulatum",0.745,"AUSTRAITS_dataset_34"
"2108","Planchonella australis",0.7568,"AUSTRAITS_dataset_49"
"2118","Polyscias elegans",0.4,"AUSTRAITS_dataset_49"
"2121","Polyscias elegans",0.22,"AUSTRAITS_dataset_61"
"2131","Polyscias elegans",0.41,"AUSTRAITS_dataset_34"
"2132","Polyscias elegans",0.413,"AUSTRAITS_dataset_34"
"2152","Pseudoweinmannia lachnocarpa",0.727,"AUSTRAITS_dataset_49"
"2156","Pseudoweinmannia lachnocarpa",0.758,"AUSTRAITS_dataset_34"
"2157","Pseudoweinmannia lachnocarpa",0.749,"AUSTRAITS_dataset_34"
"2164","Psychotria loniceroides",0.69,"AUSTRAITS_dataset_39"
"2193","Psydrax odorata",0.78,"AUSTRAITS_dataset_49"
"2194","Psydrax odorata",0.87,"AUSTRAITS_dataset_34"
"2211","Rhodamnia argentea",0.7181,"AUSTRAITS_dataset_49"
"2213","Rhodamnia argentea",0.679,"AUSTRAITS_dataset_34"
"2214","Rhodamnia argentea",0.719,"AUSTRAITS_dataset_34"
"2219","Rhodamnia rubescens",0.6622,"AUSTRAITS_dataset_49"
"2224","Rhodamnia rubescens",0.599,"AUSTRAITS_dataset_34"
"2225","Rhodamnia rubescens",0.663,"AUSTRAITS_dataset_34"
"2233","Rhodomyrtus psidioides",0.7783,"AUSTRAITS_dataset_49"
"2244","Rhodosphaera rhodanthema",0.594,"AUSTRAITS_dataset_34"
"2245","Rhodosphaera rhodanthema",0.585,"AUSTRAITS_dataset_34"
"2290","Sarcopteryx stipata",0.8385,"AUSTRAITS_dataset_49"
"2294","Sarcopteryx stipata",0.839,"AUSTRAITS_dataset_34"
"2298","Schefflera actinophylla",0.4,"AUSTRAITS_dataset_49"
"2302","Schefflera actinophylla",0.413,"AUSTRAITS_dataset_34"
"2322","Sloanea australis",0.516,"AUSTRAITS_dataset_49"
"2325","Sloanea australis",0.473,"AUSTRAITS_dataset_34"
"2326","Sloanea australis",0.538,"AUSTRAITS_dataset_34"
"2332","Sloanea woollsii",0.5332,"AUSTRAITS_dataset_49"
"2334","Sloanea woollsii",0.513,"AUSTRAITS_dataset_34"
"2335","Sloanea woollsii",0.525,"AUSTRAITS_dataset_34"
"2393","Solanum mauritianum",0.449091629,"raw data in Jillian M. Mueller. 2009. CONSERVATION MANAGEMENT UNDER CLIMATE CHANGE: ON TROPICAL DROUGHT RESISTANCE, NON-NATIVE SPECIES RESPONSE TO INCREASING DISTURBANCE, AND ASSISTED MIGRATION. University of Notre Dame, MSc thesis. "
"2437","Sterculia quadrifida",0.309,"AUSTRAITS_dataset_49"
"2440","Sterculia quadrifida",0.303,"AUSTRAITS_dataset_34"
"2441","Sterculia quadrifida",0.4,"AUSTRAITS_dataset_34"
"2442","Sterculia quadrifida",0.276,"AUSTRAITS_dataset_34"
"2446","Streblus brunonianus",0.65,"AUSTRAITS_dataset_49"
"2449","Streblus brunonianus",0.68,"AUSTRAITS_dataset_34"
"2450","Streblus brunonianus",0.693,"AUSTRAITS_dataset_34"
"2451","Streblus brunonianus",0.702,"AUSTRAITS_dataset_34"
"2466","Synoum glandulosum",0.53,"AUSTRAITS_dataset_28"
"2472","Synoum glandulosum",0.513,"AUSTRAITS_dataset_49"
"2481","Synoum glandulosum",0.524,"AUSTRAITS_dataset_28"
"2488","Synoum glandulosum",0.502,"AUSTRAITS_dataset_28"
"2498","Synoum glandulosum",0.512,"AUSTRAITS_dataset_20"
"2507","Synoum glandulosum",0.531,"AUSTRAITS_dataset_34"
"2508","Synoum glandulosum",0.581,"AUSTRAITS_dataset_34"
"2518","Syzygium australe",0.59,"AUSTRAITS_dataset_49"
"2527","Syzygium australe",0.633,"AUSTRAITS_dataset_34"
"2532","Syzygium floribundum",0.6364,"AUSTRAITS_dataset_49"
"2534","Syzygium floribundum",0.543,"J. Lawson fieldwork"
"2537","Syzygium luehmannii",0.57,"AUSTRAITS_dataset_49"
"2548","Syzygium luehmannii",0.758,"AUSTRAITS_dataset_34"
"2549","Syzygium luehmannii",0.607,"AUSTRAITS_dataset_34"
"2559","Syzygium oleosum",0.79,"AUSTRAITS_dataset_49"
"2571","Syzygium oleosum",0.883,"AUSTRAITS_dataset_34"
"2577","Syzygium oleosum",0.58133195,"J. Lawson"
"2599","Tecoma stans",0.462,"Zanne, A.E., Lopez-Gonzalez, G.*, Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J. 2009. Global wood density database. Dryad. Identifier: http://hdl.handle.net/10255/dryad.235. http://hdl.handle.net/10255/dryad.235"
"2605","Toechima tenax",0.6622,"AUSTRAITS_dataset_49"
"2610","Toona ciliata",0.389,"AUSTRAITS_dataset_49"
"2611","Toona ciliata",0.53,"AUSTRAITS_dataset_39"
"2614","Toona ciliata",0.383,"AUSTRAITS_dataset_34"
"2615","Toona ciliata",0.338,"AUSTRAITS_dataset_34"
"2616","Toona ciliata",0.33,"AUSTRAITS_dataset_34"
"2617","Toona ciliata",0.387,"AUSTRAITS_dataset_34"
"2618","Toona ciliata",0.43,"AUSTRAITS_dataset_34"
"2619","Toona ciliata",0.39,"AUSTRAITS_dataset_34"
"2624","Trema tomentosa",0.46,"AUSTRAITS_dataset_39"
"2627","Trema tomentosa",0.326,"AUSTRAITS_dataset_34"
"2628","Trema tomentosa",0.344,"AUSTRAITS_dataset_34"
"2629","Trema tomentosa",0.322,"AUSTRAITS_dataset_34"
"2634","Trema tomentosa",0.330762133,"Global Wood Density Database average"
"2638","Tristaniopsis laurina",0.8256,"AUSTRAITS_dataset_49"
"2643","Tristaniopsis laurina",0.697,"AUSTRAITS_dataset_34"
"2644","Tristaniopsis laurina",0.87,"AUSTRAITS_dataset_34"
"2648","Tristaniopsis laurina",0.653561451,"J. Lawson"
"2671","Trophis scandens",0.659,"AUSTRAITS_dataset_34"
"2675","Trophis scandens",0.658878333,"Global Wood Density Database average"
"2681","Vitex melicopea",0.49,"AUSTRAITS_dataset_49"
"2684","Wikstroemia indica",0.58,"AUSTRAITS_dataset_39"
"2695","Wilkiea huegeliana",0.5719,"AUSTRAITS_dataset_49"
"2725","Wilkiea huegeliana",0.67,"Kooyman RM,  Westoby M. 2009. Costs of height gain in rainforest saplings: main-stem scaling, functional traits and strategy variation across 75 species. Annals of Botany 104: 987-993"
