Taxon,flowering.onset,flowering.end,flowering.duration,source
Phyllanthus microcladus,12,2,3,NSW flora online 
Pittosporum multiflorum,9,2,6,NSW flora online 
Pittosporum undulatum,8,11,4,"AUSTRAITS_dataset_24, NSW flora online"
Polyscias elegans,4,8,5,NSW flora online 
Pothos longipes,11,12,2,NSW flora online 
Pseudoweinmannia lachnocarpa,9,11,3,NSW flora online 
Psychotria daphnoides,12,2,3,NSW flora online 
Psychotria loniceroides,12,2,3,NSW flora online 
Rhodamnia argentea,11,2,4,NSW flora online 
Rhodamnia rubescens,8,11,4,NSW flora online 
Rhodomyrtus psidioides,11,12,2,NSW flora online 
Rhodosphaera rhodanthema,9,11,3,NSW flora online 
Rubus moluccanus,9,2,6,"Stanley & Ross (1983). Flora of south-eastern QLD. QLD Department of Primary Industries, Brisbane"
Rubus rosifolius,1,12,12,AUSTRAITS_dataset_24
Schefflera actinophylla,8,12,5,AUSTRAITS_dataset_56
Schefflera actinophylla,3,5,3,NSW flora online 
Sloanea australis,9,2,6,NSW flora online 
Sloanea woollsii,9,11,3,NSW flora online 
Smilax australis,9,2,6,PlantNET
Solanum mauritianum,3,11,9,NSW flora online 
Solanum seaforthianum,9,5,9,NSW flora online 
Stephania japonica,9,2,6,PlantNET
Sterculia quadrifida,12,2,3,NSW flora online 
Synoum glandulosum,5,7,3,AUSTRAITS_dataset_24
Syzygium australe,9,11,3,NSW flora online 
Syzygium luehmannii,10,12,3,NSW flora online 
Syzygium oleosum,11,8,10,PlantNET
Tabernaemontana pandacaqui,9,2,6,NSW flora online 
Tecoma capensis,9,2,6,NSW flora online 
Tecoma stans,9,2,6,NSW flora online 
Trema tomentosa,11,2,4,"Robinson, L. (2003), Field Guide to the native plants of Sydney. Kangaroo Press, Pymble."
Tristaniopsis laurina,12,1,2,AUSTRAITS_dataset_24
Trophis scandens,1,12,12,NSW flora online 
Turraea pubescens,9,11,3,NSW flora online 
Wikstroemia indica,11,12,2,AUSTRAITS_dataset_24
Wilkiea huegeliana,12,2,3,AUSTRAITS_dataset_24
Wilkiea macrophylla,12,2,3,NSW flora online 
