site,regulated_any,regulated,siteName,replicate,DECLAT,DECLONG,gaugeID,gaugeName
12,reg,reg,12. Obi Obi Creek downstream of number 2 crossing ,1,-26.634028,152.783722,138104a,138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]
24,unreg,ref_hist_close,24. Mary River at Moy Pocket north of quarry ,2,-26.5257,152.7395,138111A,138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]
36,,,36. North Maroochy River at North Arm-Yandina Creek Road,2,-26.5231,152.96,141009A,141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]
14,unreg,ref_hist_close,14. Mary River downstream of Walker Road,1,-26.511722,152.746139,138111A,138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]
11,reg,reg, 11. Yabba Creek at No. 8 Crossing,2,-26.498278,152.591639,138119B,138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]
10,reg,reg,10. Yabba Creek at Stirling Crossing,1,-26.490111,152.627528,138119B,138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]
35,,,35. North Maroochy River at Eumundi,1,-26.4697,152.9544,141009A,141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]
22,unreg,ref_hist_close,22. Amamoor Creek at Zachariah Lane,2,-26.3669,152.6223,138102C,138102C [138102C_amamoor.csv]
9,unreg,ref_hist_close,9. Amamoor Creek at Harrys Creek Road2 ,1,-26.346139,152.656028,138102C,138102C [138102C_amamoor.csv]
16,reg,reg,16. Six Mile Creek at Grahams Road,2,-26.342028,152.864111,138107AB,138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]
15,reg,reg, 15. Six Mile Creek at Old Noosa Road ,1,-26.329694,152.809194,138107AB,138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]
17,unreg,,17. Glastonbury Creek at Greendale Road Crossing ,1,-26.183528,152.527611,138003D,138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]
23,,,23. Glastonbury Creek at 2 km from Mary River confluence ,2,-26.1544,152.5528,138003D,138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]
32,,,32. Wide Bay Creek upstream of gauge 138002c ,2,-26.0047,152.4072,138002C,138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]
31,,,31. Wide Bay Creek downstream of gauge 138002c ,1,-26.0019,152.4286,138002C,138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]
38,,,38. Mary River at Orphants Road ,2,-25.9533,152.4956,138001A,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]
33,,,33. Munna Creek at gauge 138004b,1,-25.9042,152.3489,138004AB,138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]
34,,,34. Munna Creek downstream of gauge 138004b ,2,-25.9014,152.35,138004AB,138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]
37,,, 37. Mary River at Bauple-Woolooga Road ,1,-25.8861,152.4864,138001A,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]
40,,,40. Tinana Creek at upstream of gauge ,2,-25.8356,152.7229,138903A,138903A [138903A_tinana.csv]
39,,,39. Tinana Creek at gauge site,1,-25.82,152.7222,138903A,138903A [138903A_tinana.csv]
43,unreg,,43. Teviot Brook at Wyaralong a,1,-27.8969,152.9014,145012A,FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]
42,,,42. Logan River at upstream Tilleys Bridge ,2,-28.2233,152.8583,145020A,145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]
