site,siteName,DECLAT,DECLONG,gaugeID,gaugeName,clim_dnrg,clim_isot,clim_pcld,clim_pdmt,clim_pdry,clim_prec,clim_psea,clim_pwet,clim_pwmt,clim_pwrm,clim_tavg,clim_tcld,clim_tdry,clim_tmax,clim_tmin,clim_trng,clim_tsea,clim_twet,clim_twrm,soil_awc,soil_bdw,soil_cly,soil_der,soil_des,soil_ece,soil_nto,soil_phc,soil_pto,soil_slt,soil_snd,soil_soc
11, 11. Yabba Creek at No. 8 Crossing,-26.498278,152.591639,138119B,138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv],12.75006485,53.74793625,135.4541779,33.45661926,117.9629822,1074.04187,46.57189178,427.7681274,161.865509,427.7681274,20.2618618,14.82857132,15.91452885,30.74825287,7.026291847,23.72196007,402.2951965,24.81098747,24.81098747,13.82916737,1.212114453,22.13776588,4.085037231,1.151995182,10.10849953,0.21017696,5.113440037,0.045529574,16.24158669,56.77944565,2.883789539
12,12. Obi Obi Creek downstream of number 2 crossing ,-26.634028,152.783722,138104a,138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv],11.86498547,53.43755722,162.6393585,41.4962883,140.6659698,1292.919067,46.8634491,505.5458374,197.6858826,505.5458374,20.10215759,14.96645164,15.97029495,29.93316841,7.729711056,22.20345688,380.9794922,24.43831825,24.43831825,12.74608994,1.190961003,28.29791451,4.900153637,1.084346652,8.864079475,0.236093491,4.712797642,0.065761514,16.90513992,42.53391647,3.873775005
13,13. Obi Obi Creek upstream of number 2 crossing ,-26.639725,152.790106,138104a,138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv],11.71324253,53.28598785,175.4606934,43.0949173,149.7206421,1387.564575,47.5550766,546.2020874,216.7168427,538.9719238,19.98009109,14.87631035,15.87691402,29.73024178,7.74839735,21.98184395,378.6060181,23.95103073,24.29091644,13.6856823,1.226225853,20.69457817,6.154711723,1.24091053,9.230606079,0.205991253,4.66545105,0.049153753,19.01200867,46.36630249,3.177581787
14,14. Mary River downstream of Walker Road,-26.511722,152.746139,138111A,138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv],11.2981987,52.70613861,154.6040192,38.4026947,133.2174683,1227.518799,47.16553497,483.5106812,189.2409515,483.5106812,19.55472183,14.51522636,15.52140141,29.14513206,7.708920479,21.43621063,373.4295959,23.79650497,23.79650497,13.32135773,1.252987862,23.61512756,5.148770332,1.284927487,10.84250259,0.236646309,4.984775543,0.060827896,21.3055687,51.38861847,2.565692425
15, 15. Six Mile Creek at Old Noosa Road ,-26.329694,152.809194,138107AB,138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv],11.3000679,52.75831985,170.990799,38.92229843,142.9963226,1301.777466,47.66791153,514.1046143,205.3234863,496.496521,20.22446442,15.2034359,16.17862701,29.71733665,8.29878521,21.41855049,371.7948914,24.12040138,24.44318962,12.78553867,1.235350966,24.98325729,9.086792946,1.12790072,8.41435051,0.249562219,4.876652241,0.061960746,16.99801445,38.54547501,3.182640553
16,16. Six Mile Creek at Grahams Road,-26.342028,152.864111,138107AB,138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv],11.3861208,52.95396805,186.4654846,40.89731598,153.9534302,1386.386841,47.6153717,547.5517578,218.533905,518.2052612,20.67856598,15.66578484,16.60858536,30.12745094,8.625528336,21.50192261,371.5868225,24.58563042,24.90232086,13.70651722,1.210251689,26.41773415,11.80940914,1.42114675,9.067087173,0.216775209,4.842906475,0.065082565,20.1696949,40.39208221,3.360384941
17,17. Glastonbury Creek at Greendale Road Crossing ,-26.183528,152.527611,138003D,138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv],12.7577076,53.3300705,120.6657715,32.18031693,110.6557007,976.4624023,46.64665604,393.8253784,147.9803619,393.8253784,20.54158974,15.00520515,16.12929153,31.12709236,7.204927444,23.92216492,408.7309265,25.15003967,25.15003967,13.89303493,1.292001605,19.7485714,5.678670883,1.182123184,10.80613041,0.186816216,5.155008316,0.029275855,21.5009613,57.99703217,2.661882162
18,18. Eudlo Creek at gauge site,-26.662528,153.018139,141008A,141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv],10.90953255,52.23423767,229.1397858,43.0633812,180.3746948,1593.16333,44.97273636,615.5736084,229.391037,545.6690063,20.33629417,15.41865253,16.29043007,29.44812775,8.562338829,20.88578796,367.1764221,23.00846863,24.55631447,13.47075558,1.177639246,24.2046814,12.90537262,1.424053431,6.850393772,0.172786817,4.726504803,0.019722953,15.66880417,52.16349411,3.451344013
19,19. Eudlo Creek upstream of Bruce Highway ,-26.686,152.996361,141008A,141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv],11.09926319,52.55884933,222.5865021,42.27711487,175.6973877,1594.83728,46.1240921,621.8434448,234.1599121,556.3201294,20.34277534,15.39517403,16.28919983,29.58335304,8.465572357,21.11778069,369.0868225,23.00473785,24.58233643,13.54885101,1.178313613,18.64055634,13.38751698,1.3594383,5.308700562,0.144575834,4.624115467,0.027085761,16.44834137,54.74507904,2.878742695
20,20. Reynolds Creek at Yarramalong camp ground ,-28.011556,152.556528,143112A,143112A [reynolds_short.csv],14.12423134,53.20210266,98.20487213,25.07334709,92.41080475,874.1658325,50.12212753,362.3360596,125.7123795,362.3360596,19.1638546,13.05895615,14.23764801,31.11511612,4.566858292,26.54825783,455.1161194,24.36642075,24.36642075,13.09423923,1.262551427,20.30681229,0.008299958,1.180792212,14.21013737,0.156151399,5.367919445,0.038722668,16.20524788,59.86289597,3.341474533
21,21. Reynolds Creek at downstream of Purdons Bridge ,-28.000694,152.569917,143112A,143112A [reynolds_short.csv],14.29702473,53.38348007,96.81210327,24.77709007,90.99304962,865.7685547,50.21345901,359.0811462,124.8905334,359.0811462,19.38311958,13.24980164,14.43205261,31.4031868,4.621447563,26.78173828,457.2368774,24.60858345,24.60858345,15.32453442,1.281211019,22.18075562,7.708849907,1.267469406,16.79611206,0.15448001,5.197907925,0.07580734,16.36651611,57.77083588,2.956904411
22,22. Amamoor Creek at Zachariah Lane,-26.3669,152.6223,138102C,138102C [138102C_amamoor.csv],12.47486877,53.46614456,138.6972809,33.84571838,120.2618484,1110.112793,47.60472488,444.0291443,172.4961243,444.0291443,20.30414772,14.92751408,16.00220108,30.61499214,7.282716751,23.33227539,397.6425781,24.79585266,24.79585266,13.41997814,1.224936604,22.88242531,5.24861908,1.219935536,10.51617908,0.199940905,4.925070286,0.044705488,21.34404564,52.54550934,3.224890947
23,23. Glastonbury Creek at 2 km from Mary River confluence ,-26.1544,152.5528,138003D,138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv],12.87441635,53.49869919,118.3062973,31.15208626,108.7124939,954.6107178,46.45315552,385.0382385,144.6018982,385.0382385,20.81632042,15.26831341,16.3919487,31.4324131,7.367496967,24.06491661,409.4788818,25.43223381,25.43223381,13.79076099,1.214640617,25.51976013,5.378195286,1.162287593,8.306036949,0.189166054,5.128108501,0.029219031,18.92180252,64.147995,2.74611187
24,24. Mary River at Moy Pocket north of quarry ,-26.5257,152.7395,138111A,138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv],12.0446434,53.56783676,155.0525055,38.7011261,133.8505707,1230.775024,47.14621735,485.6012573,189.6169891,485.6012573,20.2440052,15.06855774,16.08232689,30.18432999,7.699489117,22.48484039,383.6312866,24.59764099,24.59764099,12.51353455,1.194116235,24.21467018,2.028835058,1.143324971,8.875918388,0.248414099,4.832206726,0.058920935,19.54282188,47.0014534,3.257363796
25,25. Coomera River at Tucker Lane,-28.0561,153.1786,146010A,146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv],12.64870453,53.20098877,144.4904327,36.63406372,124.3870544,1175.234253,44.85270691,441.6426392,166.8085938,441.6426392,19.07282639,13.63237,14.63156128,29.47015762,5.694840431,23.77531624,404.3740234,23.6688118,23.6688118,14.02777481,1.156258583,22.92389679,5.548941612,1.276729345,11.36448479,0.234210834,4.992982864,0.048109736,20.85249329,59.82904053,3.5434618
26,26. Stanley River at gauge site,-26.8392,152.8403,143303A,143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv],11.60455322,53.166008,170.4892578,37.24684906,138.9720001,1362.873169,48.35898972,531.1469116,213.758316,517.5524292,19.84592438,14.74308586,15.75939178,29.6062336,7.779217243,21.82701683,378.7570801,23.82805061,24.17473793,14.10608292,1.169951916,21.66416931,6.703179359,1.31656456,7.602606297,0.277863413,4.742794991,0.047706813,17.75388718,49.6878624,3.8700881
27,27. Burnett Creek at 2 km downstream of Maroon Dam ,-28.1759,152.6722,145099A,145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv],14.0608387,53.20017242,101.5246429,25.78069687,96.72099304,869.0558472,48.70245743,357.2359314,123.4647217,357.2359314,18.84444237,12.794487,13.96727848,30.67307091,4.24300909,26.43006134,450.627533,23.99592972,23.99592972,15.17580605,1.217576981,20.56720924,12.53192806,1.303043127,14.28969193,0.164184108,5.369582653,0.064348981,14.84450054,59.03322983,3.002785206
28,28. Burnett Creek at Splityard Creek Road,-28.1659,152.6814,145099A,145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv],14.06537342,53.23911667,101.2475891,25.80194473,96.59196472,868.3575439,48.76673889,357.1707458,123.7517853,357.1707458,18.88757324,12.84397888,14.01525879,30.70387077,4.28462553,26.41924477,450.1040344,24.03188324,24.03188324,15.2666378,1.219159245,25.6273365,6.38536644,1.241523743,16.11069298,0.20807229,5.620397568,0.063536696,16.67122459,55.79307556,3.169724464
29,29. Currumbin Creek at Currumbin Valley Primary School ,-28.2075,153.3953,146012A,146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv],11.17449665,52.54397583,242.6692505,48.59143829,182.3864441,1913.459473,49.57830048,746.788147,283.4237671,690.0335693,19.51111221,14.58577728,15.450737,28.89967346,7.632732391,21.26694107,368.1811829,22.25592422,23.73807335,12.34877777,1.003418565,25.05378723,0.949811876,1.130906701,8.59089756,0.198651895,4.557004452,0.051866807,24.11776924,47.61996078,5.469777107
30,30. Currumbin Creek at Fordyce Court,-28.1908,153.4167,146012A,146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv],10.52274036,51.77017593,235.4803925,47.70982361,178.168335,1776.338745,47.14861298,678.9696045,252.994751,625.2341919,19.01957512,14.23756695,15.07779884,28.07697296,7.751098633,20.32587433,357.7488403,21.70390701,23.13147545,13.11222649,0.961631596,27.44244576,2.835472107,1.126103163,8.552789688,0.192815363,4.608438492,0.058842644,25.17512321,43.12921906,4.636009216
31,31. Wide Bay Creek downstream of gauge 138002c ,-26.0019,152.4286,138002C,138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv],13.06978035,53.59132385,108.6091537,29.7261982,104.8832703,890.574585,46.1077919,359.6753845,127.2458649,359.6753845,21.14114952,15.52523422,16.65835571,31.94254684,7.554680824,24.38786507,414.8168335,25.8211174,25.8211174,13.62606239,1.303489804,23.73209763,3.837403059,1.038965583,9.863471031,0.167249128,5.192152023,0.03850754,17.60295868,58.60747528,3.189157724
32,32. Wide Bay Creek upstream of gauge 138002c ,-26.0047,152.4072,138002C,138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv],13.08115482,53.55379486,108.502037,29.91205215,105.2748108,890.8356323,46.11059952,359.6354675,126.305603,359.6354675,21.08807755,15.45806599,16.59514046,31.91534805,7.489153385,24.42619514,415.869751,25.77962494,25.77962494,13.79745483,1.30492723,37.01009369,3.663620472,1.25180757,11.79919052,0.165497899,5.533581257,0.052234191,18.10488892,48.8753624,2.965215921
33,33. Munna Creek at gauge 138004b,-25.9042,152.3489,138004AB,138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv],12.94884014,53.4006958,111.7205811,31.37485695,109.610878,931.4139404,46.89871979,376.1097107,129.9486847,376.1097107,21.07334709,15.45924377,16.59062576,31.86720276,7.618754387,24.24844742,414.7208557,25.75291061,25.75291061,14.31150627,1.329680443,22.39549446,6.105927467,1.190771341,10.37076378,0.14967297,5.232156277,0.039847791,18.41442299,55.94258118,2.410166264
34,34. Munna Creek downstream of gauge 138004b ,-25.9014,152.35,138004AB,138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv],12.94884014,53.4006958,111.7205811,31.37485695,109.610878,931.4139404,46.89871979,376.1097107,129.9486847,376.1097107,21.07334709,15.45924377,16.59062576,31.86720276,7.618754387,24.24844742,414.7208557,25.75291061,25.75291061,14.60508251,1.313132644,19.72196579,5.616991997,1.226912618,11.1349268,0.146004155,5.318706989,0.04654979,16.1189518,59.92668533,2.291818619
35,35. North Maroochy River at Eumundi,-26.4697,152.9544,141009A,141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv],10.97059822,52.58348465,213.3515625,44.04603958,173.1053314,1520.851685,45.97392654,592.9439087,231.3616486,544.2750854,20.55004311,15.65501595,16.54094124,29.69727135,8.834071159,20.86319923,364.0437317,23.17619514,24.71052933,13.43427181,1.137929797,22.00115776,5.382903576,1.333310246,9.882054329,0.178362012,4.592539787,0.04280049,18.11139297,48.39881516,3.442286491
36,36. North Maroochy River at North Arm-Yandina Creek Road,-26.5231,152.96,141009A,141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv],11.03294468,52.65035629,215.574234,44.22987366,174.6337128,1535.767944,45.53351593,594.2196655,230.5741577,547.2348633,20.52801132,15.62129784,16.50552559,29.70281219,8.747694016,20.95511818,365.2148743,23.16340446,24.70670891,13.24448299,1.162249923,18.37912178,14.67020321,1.476833224,7.618019581,0.20398964,4.710796833,0.035720848,19.27512932,51.20161819,3.259968758
37, 37. Mary River at Bauple-Woolooga Road ,-25.8861,152.4864,138001A,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv],12.76169014,53.53497696,111.2847977,30.4341011,104.5128937,899.5317993,45.75644302,359.5658875,130.8409424,359.5658875,21.37773705,15.88125324,16.97680092,31.94215965,8.104118347,23.83804131,406.1400757,25.96599197,25.96599197,14.16942883,1.336469054,21.00814438,8.671669006,1.117469311,10.60014534,0.179275975,4.934397697,0.042755529,15.52996254,56.90710068,2.652782917
38,38. Mary River at Orphants Road ,-25.9533,152.4956,138001A,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv],12.85115528,53.58969116,109.3406754,29.37934494,103.131218,884.9790039,45.77086258,355.3100891,129.1053925,355.3100891,21.2983799,15.77677727,16.88384438,31.91546631,7.934816837,23.98064995,407.9249268,25.90482712,25.90482712,14.47156811,1.305361032,19.64848709,6.043702602,1.209150076,12.00130653,0.159985557,5.336770535,0.04734074,18.62579727,62.17832947,2.356807947
39,39. Tinana Creek at gauge site,-25.82,152.7222,138903A,138903A [138903A_tinana.csv],11.78693485,52.91530228,143.7282715,34.88155746,122.7455292,1036.102783,43.39176559,393.5278625,156.8903961,393.5278625,21.34997559,16.15975952,17.16520882,31.23970032,8.964603424,22.27509689,384.5278015,25.71652603,25.71652603,12.95532322,1.294698834,13.07931328,11.04504585,1.326170564,5.092062473,0.097677544,4.680103779,0.027188832,16.64107323,74.51133728,2.997516155
40,40. Tinana Creek at upstream of gauge ,-25.8356,152.7229,138903A,138903A [138903A_tinana.csv],11.7918005,52.94063568,143.6903229,34.89833069,122.7991409,1036.55127,43.42730713,393.9874573,156.9142151,393.9874573,21.33830452,16.1499939,17.15788841,31.23360062,8.959971428,22.27363014,384.3728027,25.70302582,25.70302582,13.5854063,1.302524924,18.68117142,10.38372803,1.281009197,7.484339714,0.126680046,4.689802647,0.035884593,21.14614296,62.0632782,3.012557745
41,41. Logan River at Running Creek Road ,-28.2128,152.8739,145020A,145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv],14.09662342,53.7134819,92.11251831,24.20845032,89.97753143,791.9001465,47.44617462,320.8670654,115.3363419,320.8670654,19.20879173,13.27583218,14.41828918,30.8093071,4.565201759,26.24410629,441.4157715,24.24716377,24.24716377,14.97382927,1.244943261,28.71584892,11.97836494,1.29869628,16.80957031,0.228967041,5.545087337,0.096713394,18.30203438,47.97805786,3.331651211
42,42. Logan River at upstream Tilleys Bridge ,-28.2233,152.8583,145020A,145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv],14.096735,53.68322754,93.45349121,24.36452293,90.59474945,800.7449341,47.30292511,324.0668945,115.6099319,324.0668945,19.17386818,13.23464298,14.37964344,30.78903389,4.529929638,26.25910378,441.9187012,24.219244,24.219244,14.59913826,1.251537681,23.55164719,5.615754128,1.274479508,15.01302624,0.177977636,5.608204365,0.065834992,16.84064484,55.09396744,2.759526014
43,43. Teviot Brook at Wyaralong a,-27.8969,152.9014,145012A,FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv],13.65824986,53.55883789,94.59613037,25.63823128,89.25119019,812.305603,46.68381882,322.0532837,120.3369522,322.0532837,19.76967621,13.95260429,15.06899071,31.0545845,5.553191662,25.50139236,431.8603516,24.68051529,24.68051529,14.18189144,1.26809752,18.57963562,6.886637688,1.305926561,14.01405716,0.164609596,5.712595463,0.063174807,16.89924431,61.37449646,2.53485775
44,44. Teviot Brook at Wyaralong b,-27.9061,152.8583,145012A,FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv],13.64211178,53.48610306,94.92906952,25.67058182,90.1111908,823.6616211,47.3900795,330.3085022,122.2958603,330.3085022,19.60213852,13.77093887,14.89660072,30.93268585,5.4267869,25.50589943,433.0838318,24.53026199,24.53026199,13.29948902,1.09079361,26.7574234,1.862619042,1.011930108,16.29348946,0.208528861,5.301919937,0.059132177,15.99515152,46.6536026,3.008567333
